period_label,nmas_artist_id,artist_name,residency,spotify_monthly_listeners,youtube_quarter_views,deezer_fans,spotify_revenue_usd,youtube_revenue_usd,deezer_revenue_usd,measured_platform_revenue_usd,unmeasured_platform_uplift_usd,gross_streaming_revenue_usd,gross_streaming_revenue_ngn,domestic_share_observed,domestic_revenue_usd,export_revenue_usd,export_revenue_ngn,split_basis,split_classification,youtube_views_source,spotify_listeners_source
Q2_2024,2baba,2Baba,domestic,369061,4740981,10321,15500.56,18963.92,247.7,34712.19,4650.17,39362.36,59043537.9,0.564818,22232.58,17129.78,25694665.78,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2024,2baba,2Baba,domestic,417893,4809530,10369,17551.51,19238.12,248.86,37038.48,5265.45,42303.93,63455900.7,0.590173,24966.62,17337.31,26005966.55,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q4_2024,2baba,2Baba,domestic,503594,4948491,10419,21150.95,19793.96,250.06,41194.97,6345.28,47540.25,71310378.6,0.638177,30339.09,17201.17,25801750.43,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2025,2baba,2Baba,domestic,484764,7045280,10492,20360.09,28181.12,251.81,48793.02,6108.03,54901.04,82351563.6,0.706412,38782.74,16118.3,24177448.99,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2025,2baba,2Baba,domestic,472378,5921600,10547,19839.88,23686.4,253.13,43779.4,5951.96,49731.37,74597050.2,0.673077,33473.06,16258.31,24387457.65,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2025,2baba,2Baba,domestic,572230,6441920,10621,24033.66,25767.68,254.9,50056.24,7210.1,57266.34,85899513.0,0.685045,39230.03,18036.31,27054461.25,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q4_2025,2baba,2Baba,domestic,770388,5554120,10710,32356.3,22216.48,257.04,54829.82,9706.89,64536.7,96805057.2,0.735644,47476.03,17060.68,25591015.28,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2026,2baba,2Baba,domestic,764013,5246130,10768,32088.55,20984.52,258.43,53331.5,9626.56,62958.06,94437092.7,0.780327,49127.9,13830.16,20745235.25,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2026,2baba,2Baba,domestic,797270,6182893,10899,33485.34,24731.57,261.58,58478.49,10045.6,68524.09,102786135.0,0.762967,52281.65,16242.44,24363667.27,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2026,2baba,2Baba,domestic,841953,9038910,10960,35362.03,36155.64,263.04,71780.71,10608.61,82389.31,123583970.7,0.771984,63603.19,18786.12,28179178.9,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 46% of the quarter, below the 90% adequacy threshold; subscribers x 5.99 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q1_2019,9ice,9ice,domestic,42942,512984,7509,1803.56,2051.94,180.22,4035.71,541.07,4576.78,6865173.99,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 13.53 views/month (EST, calibrated)",estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q2_2019,9ice,9ice,domestic,56736,533047,7544,2382.91,2132.19,181.06,4696.16,714.87,5411.03,8116542.94,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 13.27 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q3_2019,9ice,9ice,domestic,48531,538473,7622,2038.3,2153.89,182.93,4375.12,611.49,4986.61,7479920.34,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 13.01 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q4_2019,9ice,9ice,domestic,37839,554468,7738,1589.24,2217.87,185.71,3992.82,476.77,4469.6,6704392.5,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 12.75 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q1_2020,9ice,9ice,domestic,36337,599338,7846,1526.15,2397.35,188.3,4111.81,457.85,4569.65,6854481.9,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 12.49 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q2_2020,9ice,9ice,domestic,46293,682211,8028,1944.31,2728.84,192.67,4865.82,583.29,5449.11,8173669.5,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 12.23 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q3_2020,9ice,9ice,domestic,36900,782563,8288,1549.8,3130.25,198.91,4878.97,464.94,5343.91,8015857.92,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 11.97 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q4_2020,9ice,9ice,domestic,36712,821733,8522,1541.9,3286.93,204.53,5033.36,462.57,5495.94,8243903.52,,,,,not measured: provider published no geography this quarter,UNK,"estimated: subscribers x 11.71 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q1_2021,9ice,9ice,domestic,40596,913343,8772,1705.03,3653.37,210.53,5568.93,511.51,6080.44,9120661.92,0.165952,1009.06,5071.38,7607067.0,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: subscribers x 11.45 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q2_2021,9ice,9ice,domestic,50561,936201,8945,2123.56,3744.8,214.68,6083.05,637.07,6720.12,10080173.34,0.160847,1080.91,5639.2,8458803.76,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: subscribers x 11.19 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q3_2021,9ice,9ice,domestic,55318,963585,9162,2323.36,3854.34,219.89,6397.58,697.01,7094.59,10641886.2,0.200491,1422.4,5672.19,8508281.14,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 8% of the quarter, below the 90% adequacy threshold; subscribers x 10.92 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q4_2021,9ice,9ice,domestic,55349,1021504,9321,2324.66,4086.02,223.7,6634.38,697.4,7331.78,10997663.1,0.233269,1710.28,5621.5,8432244.91,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2022,9ice,9ice,domestic,62775,1152357,9466,2636.55,4609.43,227.18,7473.16,790.97,8264.13,12396190.5,0.278057,2297.9,5966.23,8949344.55,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2022,9ice,9ice,domestic,67490,1174846,9554,2834.58,4699.38,229.3,7763.26,850.37,8613.63,12920451.0,0.294641,2537.93,6075.71,9113559.8,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2022,9ice,9ice,domestic,65731,1750609,9655,2760.7,7002.44,231.72,9994.86,828.21,10823.07,16234602.9,0.305853,3310.27,7512.8,11269201.16,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q4_2022,9ice,9ice,domestic,71871,1021863,9700,3018.58,4087.45,232.8,7338.83,905.57,8244.41,12366612.9,0.359948,2967.56,5276.85,7915274.97,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2023,9ice,9ice,domestic,86845,1027831,9732,3647.49,4111.32,233.57,7992.38,1094.25,9086.63,13629943.5,0.457307,4155.38,4931.25,7396870.68,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2023,9ice,9ice,domestic,115383,1212755,9775,4846.09,4851.02,234.6,9931.71,1453.83,11385.53,17078297.7,0.497049,5659.17,5726.36,8589546.47,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2023,9ice,9ice,domestic,114403,1055902,9804,4804.93,4223.61,235.3,9263.83,1441.48,10705.31,16057961.46,0.58808,6295.58,4409.73,6614592.26,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: subscribers x 8.84 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q4_2023,9ice,9ice,domestic,204355,2231359,9848,8582.91,8925.44,236.35,17744.7,2574.87,20319.57,30479356.5,0.650181,13211.39,7108.18,10662267.21,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2024,9ice,9ice,domestic,259220,638888,9873,10887.24,2555.55,236.95,13679.74,3266.17,16945.92,25418874.0,0.664639,11262.91,5683.01,8524510.1,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2024,9ice,9ice,domestic,277245,1291193,9893,11644.29,5164.77,237.43,17046.49,3493.29,20539.78,30809671.5,0.699553,14368.67,6171.11,9256665.8,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2024,9ice,9ice,domestic,313611,1392383,9918,13171.66,5569.53,238.03,18979.23,3951.5,22930.72,34396086.9,0.67829,15553.69,7377.03,11065549.31,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q4_2024,9ice,9ice,domestic,309137,1468502,9949,12983.75,5874.01,238.78,19096.54,3895.13,22991.66,34487496.3,0.675283,15525.88,7465.78,11198675.01,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2025,9ice,9ice,domestic,269245,1328017,9965,11308.29,5312.07,239.16,16859.52,3392.49,20252.01,30378007.5,0.76399,15472.33,4779.68,7169513.1,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2025,9ice,9ice,domestic,340210,1478921,9990,14288.82,5915.68,239.76,20444.26,4286.65,24730.91,37096365.0,0.770398,19052.64,5678.27,8517410.89,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2025,9ice,9ice,domestic,331340,1538087,10013,13916.28,6152.35,240.31,20308.94,4174.88,24483.82,36725736.0,0.774728,18968.31,5515.52,8273274.27,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q4_2025,9ice,9ice,domestic,375208,1550777,10039,15758.74,6203.11,240.94,22202.78,4727.62,26930.4,40395601.2,0.802594,21614.17,5316.23,7974341.26,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2026,9ice,9ice,domestic,290882,1727965,10059,12217.04,6911.86,241.42,19370.32,3665.11,23035.43,34553149.8,0.841459,19383.38,3652.05,5478079.13,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2026,9ice,9ice,domestic,409921,2202008,10115,17216.68,8808.03,242.76,26267.47,5165.0,31432.48,47148717.9,0.871612,27396.92,4035.56,6053336.8,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2026,9ice,9ice,domestic,499372,957801,10139,20973.62,3831.2,243.34,25048.16,6292.09,31340.25,47010376.8,0.881739,27633.93,3706.32,5559479.29,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 42% of the quarter, below the 90% adequacy threshold; subscribers x 5.99 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q1_2019,adekunle-gold,Adekunle Gold,domestic,144006,0,11081,6048.24,0.0,265.94,6314.18,1814.47,8128.65,12192974.98,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q2_2019,adekunle-gold,Adekunle Gold,domestic,190264,0,11679,7991.09,0.0,280.3,8271.38,2397.33,10668.71,16003065.6,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2019,adekunle-gold,Adekunle Gold,domestic,242775,0,14295,10196.55,0.0,343.08,10539.63,3058.97,13598.6,20397892.5,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q4_2019,adekunle-gold,Adekunle Gold,domestic,264861,0,20739,11124.16,0.0,497.74,11621.9,3337.25,14959.15,22438719.9,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q1_2020,adekunle-gold,Adekunle Gold,domestic,250512,0,26871,10521.5,0.0,644.9,11166.41,3156.45,14322.86,21484288.8,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q2_2020,adekunle-gold,Adekunle Gold,domestic,523044,0,35134,21967.85,0.0,843.22,22811.06,6590.35,29401.42,44102127.6,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2020,adekunle-gold,Adekunle Gold,domestic,546604,0,49604,22957.37,0.0,1190.5,24147.86,6887.21,31035.07,46552611.6,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q4_2020,adekunle-gold,Adekunle Gold,domestic,459150,0,64287,19284.3,0.0,1542.89,20827.19,5785.29,26612.48,39918717.0,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q1_2021,adekunle-gold,Adekunle Gold,domestic,936701,0,76662,39341.44,0.0,1839.89,41181.33,11802.43,52983.76,79475643.9,0.040891,2166.58,50817.18,76225774.85,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q2_2021,adekunle-gold,Adekunle Gold,domestic,1089767,0,88528,45770.21,0.0,2124.67,47894.89,13731.06,61625.95,92438925.3,0.034185,2106.69,59519.26,89278883.71,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2021,adekunle-gold,Adekunle Gold,domestic,1629311,0,103892,68431.06,0.0,2493.41,70924.47,20529.32,91453.79,137180682.9,0.056859,5199.99,86253.8,129380697.29,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q4_2021,adekunle-gold,Adekunle Gold,domestic,1702169,0,122753,71491.1,0.0,2946.07,74437.17,21447.33,95884.5,143826749.1,0.080107,7680.99,88203.51,132305269.3,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q1_2022,adekunle-gold,Adekunle Gold,domestic,1992228,0,142089,83673.58,0.0,3410.14,87083.71,25102.07,112185.78,168278677.2,0.073321,8225.59,103960.19,155940288.01,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q2_2022,adekunle-gold,Adekunle Gold,domestic,2075768,0,151770,87182.26,0.0,3642.48,90824.74,26154.68,116979.41,175469119.2,0.069568,8137.99,108841.42,163262134.81,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2022,adekunle-gold,Adekunle Gold,domestic,2482984,0,158105,104285.33,0.0,3794.52,108079.85,31285.6,139365.45,209048169.6,0.058624,8170.12,131195.33,196792994.78,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q4_2022,adekunle-gold,Adekunle Gold,domestic,2134307,0,162642,89640.89,0.0,3903.41,93544.3,26892.27,120436.57,180654855.3,0.072074,8680.29,111756.28,167634418.18,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q1_2023,adekunle-gold,Adekunle Gold,domestic,2526803,0,166044,106125.73,0.0,3985.06,110110.78,31837.72,141948.5,212922749.7,0.146965,20861.45,121087.05,181630568.86,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q2_2023,adekunle-gold,Adekunle Gold,domestic,3174635,0,169365,133334.67,0.0,4064.76,137399.43,40000.4,177399.83,266099746.5,0.157318,27908.14,149491.69,224237529.13,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q3_2023,adekunle-gold,Adekunle Gold,domestic,3111670,0,172633,130690.14,0.0,4143.19,134833.33,39207.04,174040.37,261060561.0,0.203778,35465.54,138574.84,207862257.6,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q4_2023,adekunle-gold,Adekunle Gold,domestic,3022781,0,175928,126956.8,0.0,4222.27,131179.07,38087.04,169266.11,253899171.9,0.243634,41238.98,128027.14,192040708.13,observed: artist's own Nigerian share of listeners this quarter,OBS,no YouTube presence observed,"observed monthly listeners, quarter end level"
Q1_2024,adekunle-gold,Adekunle Gold,domestic,2935700,5852621,179257,123299.4,23410.48,4302.17,151012.05,36989.82,188001.87,282002806.8,0.253164,47595.25,140406.62,210609925.35,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q2_2024,adekunle-gold,Adekunle Gold,domestic,2922257,21213227,183439,122734.79,84852.91,4402.54,211990.24,36820.44,248810.68,373216013.1,0.326594,81260.0,167550.68,251326013.62,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 74% of the quarter, below the 90% adequacy threshold; subscribers x 8.06 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q3_2024,adekunle-gold,Adekunle Gold,domestic,2637007,14788504,186515,110754.29,59154.02,4476.36,174384.67,33226.29,207610.96,311416437.3,0.315387,65477.82,142133.14,213199709.12,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q4_2024,adekunle-gold,Adekunle Gold,domestic,2626213,15423640,189222,110300.95,61694.56,4541.33,176536.83,33090.28,209627.12,314440676.7,0.400003,83851.48,125775.63,188663451.23,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2025,adekunle-gold,Adekunle Gold,domestic,2596487,13464410,191620,109052.45,53857.64,4598.88,167508.97,32715.74,200224.71,300337065.3,0.454324,90966.86,109257.85,163886770.06,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2025,adekunle-gold,Adekunle Gold,domestic,2417773,14959680,194031,101546.47,59838.72,4656.74,166041.93,30463.94,196505.87,294758804.7,0.400224,78646.35,117859.52,176789274.21,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2025,adekunle-gold,Adekunle Gold,domestic,2768989,18366720,196571,116297.54,73466.88,4717.7,194482.12,34889.26,229371.38,344057075.1,0.486866,111673.07,117698.31,176547471.34,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q4_2025,adekunle-gold,Adekunle Gold,domestic,3226217,28385630,198663,135501.11,113542.52,4767.91,253811.55,40650.33,294461.88,441692820.3,0.581943,171360.06,123101.82,184652725.81,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q1_2026,adekunle-gold,Adekunle Gold,domestic,2878823,22633400,200385,120910.57,90533.6,4809.24,216253.41,36273.17,252526.58,378789863.7,0.566761,143122.22,109404.36,164106535.62,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q2_2026,adekunle-gold,Adekunle Gold,domestic,3205336,21210980,202280,134624.11,84843.92,4854.72,224322.75,40387.23,264709.99,397064978.4,0.590865,156407.88,108302.11,162453162.05,observed: artist's own Nigerian share of listeners this quarter,OBS,"observed channel views, quarter net change","observed monthly listeners, quarter end level"
Q3_2026,adekunle-gold,Adekunle Gold,domestic,3508125,18688800,203059,147341.25,74755.2,4873.42,226969.87,44202.38,271172.24,406758361.5,0.558938,151568.54,119603.71,179405558.7,observed: artist's own Nigerian share of listeners this quarter,OBS,"estimated: observations span 41% of the quarter, below the 90% adequacy threshold; subscribers x 5.99 views/month (EST, calibrated)","observed monthly listeners, quarter end level"
Q1_2019,ajebutter22,Ajebutter22,domestic,171579,0,561,7206.33,0.0,13.46,7219.79,2161.9,9381.69,14072534.86,,,,,not measured: provider published no geography this quarter,UNK,no YouTube presence observed,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
