artist_name,first_quarter,first_usd,last_quarter,last_usd,total_usd,quarters_with_revenue,cagr_pct,classification
Vector,Q1_2019,690.84,Q2_2026,52093.02,582966.06,31,81.53,OBS
Reminisce,Q1_2019,3755.4,Q2_2026,33655.43,535955.65,31,35.32,OBS
Mannywellz,Q1_2019,676.86,Q2_2026,43524.05,502372.91,31,77.59,OBS
Ajebutter22,Q1_2019,9381.69,Q2_2026,11533.35,498638.06,31,2.89,OBS
Rude Boy,Q1_2019,0.0,Q2_2026,18686.43,466105.3,29,,UNK
Praiz,Q1_2019,3630.5,Q2_2026,18314.01,425474.97,31,25.01,OBS
9ice,Q1_2019,4576.78,Q2_2026,31432.48,420585.22,31,30.44,OBS
Seyi Shay,Q1_2019,12339.16,Q2_2026,13120.62,417153.7,31,0.85,OBS
Duncan Mighty,Q1_2019,3380.1,Q2_2026,40098.23,414204.38,31,40.66,OBS
Brymo,Q1_2019,5335.2,Q2_2026,26516.5,389248.23,31,24.75,OBS
M.I. Abaga,Q1_2019,2988.51,Q2_2026,18970.97,371057.64,31,29.04,OBS
Terri,Q1_2019,0.0,Q2_2026,9277.64,310665.23,30,,UNK
Sean Tizzle,Q1_2019,4425.77,Q2_2026,16960.91,295198.37,31,20.36,OBS
Lyta,Q1_2019,208.59,Q2_2026,34503.0,294222.45,31,102.31,OBS
Dice Ailes,Q1_2019,2138.25,Q2_2026,15522.25,286862.94,31,31.45,OBS
Solidstar,Q1_2019,8082.04,Q2_2026,9322.44,249395.56,31,1.99,OBS
Lady Donli,Q1_2019,1887.86,Q2_2026,8841.58,240796.32,31,23.73,OBS
DJ Spinall,Q1_2019,0.0,Q2_2026,0.11,239500.77,30,,UNK
HarrySong,Q1_2019,2730.94,Q2_2026,9687.06,232600.67,31,19.08,OBS
Terry Apala,Q1_2019,899.42,Q2_2026,42004.59,228901.74,31,69.92,OBS
Dremo,Q1_2019,2892.99,Q2_2026,18870.4,217986.17,31,29.52,OBS
Darey,Q1_2019,4072.92,Q2_2026,9454.43,183193.23,31,12.32,OBS
CDQ,Q1_2019,1714.36,Q2_2026,20181.95,174555.14,31,40.51,OBS
Portable,Q1_2019,0.0,Q2_2026,0.0,166960.31,5,,UNK
Prettyboy D-O,Q1_2019,741.94,Q2_2026,4800.86,160713.62,31,29.38,OBS
King Sunny Ade,Q1_2019,1407.72,Q2_2026,12317.42,152623.03,31,34.88,OBS
Illbliss,Q1_2019,312.02,Q2_2026,15860.69,147783.49,31,71.92,OBS
Mr Real,Q1_2019,0.0,Q2_2026,7304.07,125109.68,30,,UNK
Waje,Q1_2019,1537.32,Q2_2026,2787.64,116450.1,31,8.56,OBS
Naeto C,Q1_2019,2576.0,Q2_2026,8854.82,113196.25,31,18.57,OBS
Small Doctor,Q1_2019,2324.07,Q2_2026,4680.29,104709.31,31,10.14,OBS
Yung6ix,Q1_2019,810.41,Q2_2026,8090.07,94672.46,31,37.35,OBS
Olu Maintain,Q1_2019,842.58,Q2_2026,7252.59,93322.38,31,34.57,OBS
Sound Sultan,Q1_2019,1656.33,Q2_2026,5772.79,84223.45,31,18.79,OBS
Lagbaja,Q1_2019,509.0,Q2_2026,2621.69,84058.7,31,25.37,OBS
Jesse Jagz,Q1_2019,330.9,Q2_2026,4847.59,78149.46,31,44.81,OBS
Eldee,Q1_2019,343.24,Q2_2026,5502.47,53988.76,31,46.62,OBS
Dammy Krane,Q1_2019,3486.46,Q2_2026,2439.6,43741.64,31,-4.81,OBS
Sauce Kid,Q1_2019,0.0,Q2_2026,707.27,7522.06,30,,UNK
Ebenezer Obey,Q1_2019,73.34,Q2_2026,122.96,3355.26,31,7.39,OBS
Oritsefemi,Q1_2019,25.57,Q2_2026,26.11,883.5,31,0.29,OBS
DJ Cuppy,Q1_2019,0.0,Q2_2026,0.0,12.05,4,,UNK
Odunsi,Q1_2019,0.0,Q2_2026,0.31,7.99,27,,UNK
