artist_name,first_quarter,first_usd,last_quarter,last_usd,total_usd,quarters_with_revenue,cagr_pct,classification
CDQ,Q1_2019,1714.38,Q2_2026,20181.94,174555.1,31,40.51,OBS
Portable,Q1_2019,0.0,Q2_2026,0.0,166960.31,5,,UNK
Prettyboy D-O,Q1_2019,741.95,Q2_2026,4800.86,160713.67,31,29.38,OBS
King Sunny Ade,Q1_2019,1407.72,Q2_2026,12317.42,152623.0,31,34.88,OBS
Illbliss,Q1_2019,312.05,Q2_2026,15860.7,147783.54,31,71.92,OBS
Mr Real,Q1_2019,0.0,Q2_2026,7304.07,125109.67,30,,UNK
Waje,Q1_2019,1537.3,Q2_2026,2787.64,116450.06,31,8.56,OBS
Naeto C,Q1_2019,2576.01,Q2_2026,8854.81,113196.23,31,18.57,OBS
Small Doctor,Q1_2019,2324.07,Q2_2026,4680.29,104709.28,31,10.14,OBS
Yung6ix,Q1_2019,810.43,Q2_2026,8090.08,94672.5,31,37.35,OBS
Olu Maintain,Q1_2019,842.6,Q2_2026,7252.59,93322.4,31,34.57,OBS
Sound Sultan,Q1_2019,1656.35,Q2_2026,5772.79,84223.43,31,18.79,OBS
Lagbaja,Q1_2019,508.99,Q2_2026,2621.68,84058.69,31,25.37,OBS
Jesse Jagz,Q1_2019,330.92,Q2_2026,4847.59,78149.47,31,44.81,OBS
Eldee,Q1_2019,343.27,Q2_2026,5502.47,53988.76,31,46.62,OBS
Dammy Krane,Q1_2019,3486.49,Q2_2026,2439.6,43741.67,31,-4.81,OBS
Sauce Kid,Q1_2019,0.0,Q2_2026,707.27,7522.13,30,,UNK
Ebenezer Obey,Q1_2019,73.34,Q2_2026,122.95,3355.25,31,7.39,OBS
Oritsefemi,Q1_2019,25.59,Q2_2026,26.11,883.57,31,0.28,OBS
DJ Cuppy,Q1_2019,0.0,Q2_2026,0.0,12.06,4,,UNK
Odunsi,Q1_2019,0.0,Q2_2026,0.31,7.99,27,,UNK
