period,artist_name,spotify_monthly_listeners,youtube_subscribers,youtube_actual_views,youtube_views_source,deezer_fans,est_spotify_quarterly_streams,spotify_revenue_usd,youtube_revenue_usd,deezer_revenue_usd,other_platforms_revenue_usd,gross_streaming_revenue_usd,gross_streaming_revenue_ngn,source,spotify_listeners_source,spotify_listeners_basis,ngn_per_usd,ngn_rate_basis
Q1_2019,Fela Kuti,277239,0,728358,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",153485,2911010,11644.04,2913.43,3683.64,3493.21,21734.32,6670697.49,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Phyno,95361,0,3924461,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",10719,1001290,4005.16,15697.84,257.26,1201.55,21161.81,6494982.73,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Niniola,240606,31173,1265032,"estimated: subscribers x 13.53 views/month (EST, calibrated)",0,2526363,10105.45,5060.13,0.0,3031.64,18197.22,5585090.76,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Ycee,312332,0,0,no YouTube presence observed,5493,3279486,13117.94,0.0,131.83,3935.38,17185.15,5274466.24,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,D'banj,241909,0,709937,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",4719,2540044,10160.18,2839.75,113.26,3048.05,16161.24,4960207.78,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Aṣa,107683,48209,1956369,"estimated: subscribers x 13.53 views/month (EST, calibrated)",100609,1130672,4522.69,7825.48,2414.62,1356.81,16119.6,4947427.63,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Nonso Amadi,145860,31612,1282847,"estimated: subscribers x 13.53 views/month (EST, calibrated)",4671,1531530,6126.12,5131.39,112.1,1837.84,13207.45,4053630.55,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Kizz Daniel,240769,0,0,no YouTube presence observed,2184,2528074,10112.3,0.0,52.42,3033.69,13198.41,4050856.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Rema,238790,0,0,no YouTube presence observed,404,2507295,10029.18,0.0,9.7,3008.75,13047.63,4004578.6,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Teni,227102,0,0,no YouTube presence observed,14864,2384571,9538.28,0.0,356.74,2861.49,12756.51,3915228.05,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Mayorkun,227267,0,0,no YouTube presence observed,2695,2386304,9545.21,0.0,64.68,2863.56,12473.45,3828351.27,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Seyi Shay,51500,58344,2367658,"estimated: subscribers x 13.53 views/month (EST, calibrated)",2360,540750,2163.0,9470.63,56.64,648.9,12339.17,3787138.06,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,DJ Neptune,120933,29202,1185046,"estimated: subscribers x 13.53 views/month (EST, calibrated)",968,1269796,5079.19,4740.19,23.23,1523.76,11366.37,3488566.28,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Zlatan,202030,0,0,no YouTube presence observed,286,2121315,8485.26,0.0,6.86,2545.58,11037.7,3387690.88,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Skiibii,199886,0,0,no YouTube presence observed,127,2098803,8395.21,0.0,3.05,2518.56,10916.82,3350590.39,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Odunsi (The Engine),190032,0,0,no YouTube presence observed,236,1995336,7981.34,0.0,5.66,2394.4,10381.4,3186259.29,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Ajebutter22,171579,0,0,no YouTube presence observed,561,1801580,7206.32,0.0,13.46,2161.9,9381.68,2879425.23,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Adekunle Gold,144006,0,0,no YouTube presence observed,11081,1512063,6048.25,0.0,265.94,1814.48,8128.67,2494851.4,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Solidstar,45894,34147,1385719,"estimated: subscribers x 13.53 views/month (EST, calibrated)",1390,481887,1927.55,5542.88,33.36,578.26,8082.05,2480542.79,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Boj,144071,0,0,no YouTube presence observed,250,1512746,6050.98,0.0,6.0,1815.29,7872.27,2416157.11,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Sarz,128997,0,0,no YouTube presence observed,874,1354468,5417.87,0.0,20.98,1625.36,7064.21,2168147.33,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Naira Marley,118128,0,0,no YouTube presence observed,228,1240344,4961.38,0.0,5.47,1488.41,6455.26,1981248.4,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Ric Hassani,104041,0,0,no YouTube presence observed,1536,1092430,4369.72,0.0,36.86,1310.92,5717.5,1754815.1,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Johnny Drille,104031,0,0,no YouTube presence observed,708,1092326,4369.3,0.0,16.99,1310.79,5697.08,1748547.79,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Brymo,29878,22144,898626,"estimated: subscribers x 13.53 views/month (EST, calibrated)",4556,313719,1254.88,3594.5,109.34,376.46,5335.18,1637473.45,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Simi,95822,0,0,no YouTube presence observed,4013,1006131,4024.52,0.0,96.31,1207.36,5328.19,1635328.07,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Bracket,87490,0,0,no YouTube presence observed,20156,918645,3674.58,0.0,483.74,1102.37,5260.69,1614610.97,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Fireboy DML,94925,0,0,no YouTube presence observed,15,996712,3986.85,0.0,0.36,1196.05,5183.26,1590846.16,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Lil Kesh,86167,0,0,no YouTube presence observed,3639,904754,3619.01,0.0,87.34,1085.7,4792.05,1470775.99,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,9ice,42942,12641,512984,"estimated: subscribers x 13.53 views/month (EST, calibrated)",7509,450891,1803.56,2051.94,180.22,541.07,4576.79,1404708.39,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,WurlD,76801,2101,85261,"estimated: subscribers x 13.53 views/month (EST, calibrated)",147,806410,3225.64,341.04,3.53,967.69,4537.9,1392772.27,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Sean Tizzle,40801,12908,523820,"estimated: subscribers x 13.53 views/month (EST, calibrated)",4282,428410,1713.64,2095.28,102.77,514.09,4425.78,1358360.4,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Peruzzi,77097,0,0,no YouTube presence observed,193,809518,3238.07,0.0,4.63,971.42,4214.12,1293397.71,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Show Dem Camp,74621,0,0,no YouTube presence observed,211,783520,3134.08,0.0,5.06,940.22,4079.36,1252037.17,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Darey,4736,22963,931862,"estimated: subscribers x 13.53 views/month (EST, calibrated)",3621,49728,198.91,3727.45,86.9,59.67,4072.93,1250063.68,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Reminisce,17450,16838,683303,"estimated: subscribers x 13.53 views/month (EST, calibrated)",2893,183225,732.9,2733.21,69.43,219.87,3755.41,1152610.44,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Praiz,65982,0,0,no YouTube presence observed,1162,692811,2771.24,0.0,27.89,831.37,3630.5,1114273.06,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Dammy Krane,63633,0,0,no YouTube presence observed,505,668146,2672.59,0.0,12.12,801.78,3486.49,1070073.51,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Duncan Mighty,60339,0,0,no YouTube presence observed,3567,633560,2534.24,0.0,85.61,760.27,3380.12,1037426.43,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,M.I. Abaga,54564,0,0,no YouTube presence observed,389,572922,2291.69,0.0,9.34,687.51,2988.54,917242.7,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Dremo,52740,0,0,no YouTube presence observed,557,553770,2215.08,0.0,13.37,664.52,2892.97,887910.35,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,HarrySong,42190,0,104008,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",473,442995,1771.98,416.03,11.35,531.59,2730.95,838183.17,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Naeto C,24261,5837,235938,"estimated: subscribers x 13.53 views/month (EST, calibrated)",12817,254740,1018.96,943.75,307.61,305.69,2576.01,790628.99,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Joeboy,43427,0,0,no YouTube presence observed,34,455984,1823.93,0.0,0.82,547.18,2371.93,727992.76,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Small Doctor,14180,9511,385966,"estimated: subscribers x 13.53 views/month (EST, calibrated)",249,148890,595.56,1543.86,5.98,178.67,2324.07,713303.56,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Amaarae,37356,1569,63672,"estimated: subscribers x 13.53 views/month (EST, calibrated)",0,392238,1568.95,254.69,0.0,470.69,2294.33,704175.76,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,Dice Ailes,38862,0,0,no YouTube presence observed,682,408051,1632.2,0.0,16.37,489.66,2138.23,656265.55,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
Q1_2019,LADIPOE,36549,0,0,no YouTube presence observed,76,383764,1535.06,0.0,1.82,460.52,1997.4,613042.01,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019),no monthly level observed; quarter-end level used,306.92,CBN annual average official rate 306.92 NGN/USD for 2019 (ASM)
