variable_name,platform,unit,aggregation_rule,providers,first_observed,last_observed,artists,observations,definition
Playlist_Amazon_Music_editorial_reach_daily,Amazon Music,followers,last_value,soundcharts,2020-08-21,2026-08-07,101,23884,
Playlist_Amazon_Music_reach_daily,Amazon Music,followers,last_value,soundcharts,2020-08-21,2026-08-07,101,23884,
Playlist_Apple_Music_count_daily,Apple Music,playlists,last_value,soundcharts,2019-01-04,2026-08-07,127,43168,
Playlist_Apple_Music_editorial_count_daily,Apple Music,playlists,last_value,soundcharts,2019-01-04,2026-08-07,127,43168,
Playlist_Apple_Music_editorial_reach_daily,Apple Music,followers,last_value,soundcharts,2019-01-04,2026-08-07,127,43168,
Playlist_Apple_Music_reach_daily,Apple Music,followers,last_value,soundcharts,2019-01-04,2026-08-07,127,43168,
Playlist_Deezer_count_daily,Deezer,playlists,last_value,soundcharts,2019-01-04,2026-08-07,121,40418,
Playlist_Deezer_editorial_count_daily,Deezer,playlists,last_value,soundcharts,2019-01-04,2026-08-07,121,40418,
Playlist_Deezer_editorial_reach_daily,Deezer,followers,last_value,soundcharts,2019-01-04,2026-08-07,121,40418,
Playlist_Deezer_reach_daily,Deezer,followers,last_value,soundcharts,2019-01-04,2026-08-07,121,40418,
Playlist_YouTube_count_daily,YouTube,playlists,last_value,soundcharts,2020-09-11,2026-08-07,117,25406,
Playlist_YouTube_editorial_count_daily,YouTube,playlists,last_value,soundcharts,2020-09-11,2026-08-07,117,25406,
Playlist_YouTube_editorial_reach_daily,YouTube,followers,last_value,soundcharts,2020-09-11,2026-08-07,117,25406,
Playlist_YouTube_reach_daily,YouTube,followers,last_value,soundcharts,2020-09-11,2026-08-07,117,25406,
Playlist_count_daily,Spotify,playlists,last_value,soundcharts,2019-01-04,2026-07-31,131,52436,Number of playlists carrying the artist.
Playlist_editorial_count_daily,Spotify,playlists,last_value,soundcharts,2019-01-04,2026-07-31,131,52436,Editorial playlists carrying the artist.
Playlist_editorial_reach_daily,Spotify,followers,last_value,soundcharts,2019-01-04,2026-07-31,131,52436,Follower reach of editorial playlists carrying the artist.
Playlist_reach_daily,Spotify,followers,last_value,soundcharts,2019-01-04,2026-07-31,131,52436,Combined follower reach of playlists carrying the artist.
Radio_spins_daily_NG,Radio,spins,sum,soundcharts,2019-01-01,2026-08-11,128,223614,Daily count of songs aired on Nigerian radio stations.
Soundcharts_fanbase_score_daily,Soundcharts,index,last_value,soundcharts,2024-11-20,2026-08-15,131,26124,
Soundcharts_score_daily,Soundcharts,index,last_value,soundcharts,2024-11-20,2026-08-15,131,26124,
Soundcharts_trending_score_daily,Soundcharts,index,last_value,soundcharts,2024-11-20,2026-08-15,131,26124,
Soundcloud_followers_daily,Soundcloud,followers,net_change,chartmetric+soundcharts,2019-01-01,2026-08-11,122,169829,Daily Soundcloud follower count for an artist.
Spotify_domestic_listeners_daily,Spotify,listeners,last_value,soundcharts,2021-02-26,2026-08-12,128,36413,Sum of Nigerian city listeners — the domestic base for the export split.
Spotify_followers_daily,Spotify,followers,net_change,chartmetric+soundcharts,2019-01-01,2026-08-11,131,330757,Daily Spotify followers for an artist.
Spotify_monthly_listeners_daily,Spotify,listeners,net_change,chartmetric+soundcharts,2019-05-16,2026-08-11,130,245791,Daily Spotify monthly listeners for an artist.
Spotify_popularity_daily,Spotify,popularity_index,last_value,chartmetric+soundcharts,2020-06-27,2026-08-11,131,206978,Spotify popularity index for an artist (0-100).
Spotify_total_listeners_daily,Spotify,listeners,last_value,soundcharts,2019-05-16,2026-08-12,128,50937,Total Spotify listeners reported alongside the city breakdown.
Tidal_followers_daily,Tidal,followers,net_change,soundcharts,2026-05-16,2026-08-11,120,2393,Daily Tidal followers for an artist.
TikTok_domestic_followers_daily,TikTok,followers,last_value,soundcharts,2020-09-17,2026-08-15,81,2495,
TikTok_followers_daily,TikTok,followers,net_change,chartmetric+soundcharts,2023-01-01,2026-08-11,106,85683,Daily TikTok follower count for an artist.
TikTok_likes_daily,TikTok,likes,net_change,chartmetric+soundcharts,2023-01-01,2026-08-11,106,82421,Daily TikTok total likes for an artist.
TikTok_total_followers_daily,TikTok,followers,last_value,soundcharts,2020-09-17,2026-08-15,81,2495,
Twitter_followers_daily,Twitter,followers,net_change,chartmetric+soundcharts,2019-01-01,2026-08-11,121,223514,Daily Twitter/X follower count for an artist.
Wikipedia_views_daily,Wikipedia,views,sum,chartmetric,2024-01-01,2026-03-25,103,59565,Daily Wikipedia page views for an artist.
YouTube_artist_daily_views,YouTube,views,sum,chartmetric,2025-01-01,2026-03-31,43,11512,Daily YouTube artist views from YouTube Charts / YouTube Music.
YouTube_artist_monthly_views,YouTube,views,last_value,chartmetric,2025-01-01,2026-03-31,43,10095,Monthly YouTube artist views (rolling 28-day) from YouTube Charts.
YouTube_channel_views_daily,YouTube,views,net_change,chartmetric+soundcharts,2021-09-23,2026-08-11,127,168903,Cumulative YouTube channel views; quarterly figure is the net change within the quarter.
YouTube_domestic_followers_daily,YouTube,followers,last_value,soundcharts,2020-09-08,2026-08-15,88,3962,
YouTube_domestic_listeners_daily,YouTube,listeners,last_value,soundcharts,2019-01-01,2026-08-13,93,108860,
YouTube_listeners_daily,YouTube,listeners,last_value,soundcharts,2019-01-01,2026-08-13,93,111271,
YouTube_subscribers_daily,YouTube,subscribers,net_change,chartmetric+soundcharts,2019-01-01,2026-08-11,127,217101,Daily YouTube channel subscribers for an artist.
YouTube_total_followers_daily,YouTube,followers,last_value,soundcharts,2020-09-08,2026-08-15,88,3962,
YouTube_total_listeners_daily,YouTube,listeners,last_value,soundcharts,2019-01-01,2026-08-13,93,111008,
