period_label,account,artists,spotify_revenue_usd,youtube_revenue_usd,deezer_revenue_usd,unmeasured_platform_uplift_usd,gross_streaming_revenue_usd,gross_streaming_revenue_ngn,domestic_revenue_usd,export_revenue_usd,cost_total_ngn,cost_total_usd,net_ngn
Q1_2020,gni_diaspora,86,630712.82,264940.94,21736.2,189213.84,1106603.78,1659905670.0,,,178880000.0,119253.33,1481025670.0
Q1_2020,unclassified,42,1225.57,2951.74,99.13,367.67,4644.12,6966180.0,,,87360000.0,58240.0,-80393820.0
Q2_2020,domestic_production,386,2265971.02,1886501.7,89097.19,679791.3,4921361.17,7382041755.0,,,802880000.0,535253.33,6579161755.0
Q2_2020,gni_diaspora,93,707531.32,271755.52,22720.03,212259.44,1214266.36,1821399540.0,,,193440000.0,128960.0,1627959540.0
Q2_2020,unclassified,44,1596.1,2992.92,123.07,478.78,5190.91,7786365.0,,,91520000.0,61013.33,-83733635.0
Q3_2020,domestic_production,408,2581135.11,2334856.21,104788.44,774340.54,5795120.34,8692680510.0,,,848640000.0,565760.0,7844040510.0
Q3_2020,gni_diaspora,95,728865.57,283366.77,23878.73,218659.68,1254770.84,1882156260.0,,,197600000.0,131733.33,1684556260.0
Q3_2020,unclassified,47,1283.81,3029.74,140.97,385.17,4839.69,7259535.0,,,97760000.0,65173.33,-90500465.0
Q4_2020,domestic_production,420,2279842.09,2676644.25,120783.98,683952.67,5761223.06,8641834590.0,,,873600000.0,582400.0,7768234590.0
Q4_2020,gni_diaspora,98,1017953.85,336609.85,24846.67,305386.13,1684796.48,2527194720.0,,,203840000.0,135893.33,2323354720.0
Q4_2020,unclassified,47,1385.46,3048.14,151.16,415.66,5000.37,7500555.0,,,97760000.0,65173.33,-90259445.0
Q1_2021,domestic_production,426,2698296.15,3139439.22,135947.53,809489.02,6783171.76,10174757640.0,283506.52,6499665.28,886080000.0,590720.0,9288677640.0
Q1_2021,gni_diaspora,101,958995.32,340604.64,25717.39,287698.63,1613016.02,2419524030.0,42680.65,1570335.38,210080000.0,140053.33,2209444030.0
Q1_2021,unclassified,48,1884.11,3049.05,162.62,565.21,5661.04,8491560.0,420.29,5240.73,99840000.0,66560.0,-91348440.0
Q2_2021,domestic_production,435,2896002.93,3574925.78,150010.07,868800.98,7489739.84,11234609760.0,301869.36,7187870.59,904800000.0,603200.0,10329809760.0
Q2_2021,gni_diaspora,102,1563473.58,342527.37,26624.46,469042.06,2401667.52,3602501280.0,31526.46,2370141.02,212160000.0,141440.0,3390341280.0
Q2_2021,unclassified,50,1768.15,3046.85,172.48,530.44,5517.91,8276865.0,484.55,5033.38,104000000.0,69333.33,-95723135.0
Q3_2021,domestic_production,438,4526301.09,3922000.16,164363.14,1357890.32,9970554.7,14955832050.0,432005.99,9538548.76,911040000.0,607360.0,14044792050.0
Q3_2021,gni_diaspora,105,1337179.69,347325.59,27589.82,401153.89,2113248.95,3169873425.0,48727.13,2064521.83,218400000.0,145600.0,2951473425.0
Q3_2021,unclassified,52,2230.37,3054.63,182.61,669.12,6136.78,9205170.0,2048.0,4088.78,108160000.0,72106.67,-98954830.0
Q4_2021,domestic_production,451,5167783.04,6025842.92,179743.67,1550334.92,12923704.55,19385556825.0,795675.61,12128028.8,938080000.0,625386.67,18447476825.0
Q4_2021,gni_diaspora,105,1649056.45,516517.11,28516.67,494716.91,2688807.14,4033210710.0,61076.62,2627730.51,218400000.0,145600.0,3814810710.0
Q4_2021,unclassified,55,5664.88,220.09,189.54,1699.47,7773.97,11660955.0,2920.18,4853.82,114400000.0,76266.67,-102739045.0
Q1_2022,domestic_production,457,5990704.91,5205248.74,194162.12,1797211.59,13187327.41,19780991115.0,783885.59,12403441.6,950560000.0,633706.67,18830431115.0
Q1_2022,gni_diaspora,107,1526592.02,682820.25,29730.81,457977.63,2697120.75,4045681125.0,85588.31,2611532.4,222560000.0,148373.33,3823121125.0
Q1_2022,unclassified,55,5977.23,2946.58,196.3,1793.2,10913.28,16369920.0,2202.57,8710.77,114400000.0,76266.67,-98030080.0
Q2_2022,domestic_production,461,6787044.27,5745823.71,201947.05,2036113.31,14770928.4,22156392600.0,922799.16,13848129.18,958880000.0,639253.33,21197512600.0
Q2_2022,gni_diaspora,107,1510912.47,692126.26,30670.68,453273.77,2686983.19,4030474785.0,122563.74,2564419.51,222560000.0,148373.33,3807914785.0
Q2_2022,unclassified,59,5727.34,2872.89,200.19,1718.23,10518.59,15777885.0,2092.9,8425.71,122720000.0,81813.33,-106942115.0
Q3_2022,domestic_production,472,7910499.2,7416785.27,208194.32,2373149.74,17908628.58,26862942870.0,1022202.52,16886426.07,981760000.0,654506.67,25881182870.0
Q3_2022,gni_diaspora,109,1798208.88,773565.98,31487.49,539462.67,3142724.98,4714087470.0,122286.86,3020438.11,226720000.0,151146.67,4487367470.0
Q3_2022,unclassified,59,6173.38,2787.34,202.26,1851.98,11015.0,16522500.0,2089.69,8925.36,122720000.0,81813.33,-106197500.0
Q4_2022,domestic_production,478,8820132.97,7369801.54,213439.62,2646039.91,19049414.09,28574121135.0,1353247.79,17696166.33,994240000.0,662826.67,27579881135.0
Q4_2022,gni_diaspora,111,1806877.16,902640.31,32203.02,542063.13,3283783.72,4925675580.0,178565.3,3105218.27,230880000.0,153920.0,4694795580.0
Q4_2022,unclassified,58,5401.29,2713.97,204.05,1620.41,9939.67,14909505.0,2473.64,7466.01,120640000.0,80426.67,-105730495.0
Q1_2023,domestic_production,484,10242978.78,7113309.54,218092.0,3072893.64,20647274.01,30970911015.0,1973748.86,18673525.17,1006720000.0,671146.67,29964191015.0
Q1_2023,gni_diaspora,110,2368422.53,783464.68,32825.93,710526.73,3895239.9,5842859850.0,225279.8,3669960.02,228800000.0,152533.33,5614059850.0
Q1_2023,unclassified,61,7092.08,2640.59,205.87,2127.64,12066.14,18099210.0,4253.35,7812.74,126880000.0,84586.67,-108780790.0
Q2_2023,domestic_production,494,12253435.18,8523117.14,222615.46,3676030.57,24675198.18,37012797270.0,2904548.75,21770649.48,1027520000.0,685013.33,35985277270.0
Q2_2023,gni_diaspora,113,2837075.09,1397796.47,33473.33,851122.53,5119467.45,7679201175.0,277785.15,4841682.38,235040000.0,156693.33,7444161175.0
Q2_2023,unclassified,63,8940.93,2556.29,207.36,2682.28,14386.84,21580260.0,6433.68,7953.1,131040000.0,87360.0,-109459740.0
Q3_2023,domestic_production,493,11573147.47,7121667.29,227250.03,3471944.24,22394009.16,33591013740.0,3355142.06,19038866.91,1025440000.0,683626.67,32565573740.0
Q3_2023,gni_diaspora,113,2736178.63,1274189.45,34184.81,820853.59,4865406.41,7298109615.0,375943.42,4489462.98,235040000.0,156693.33,7063069615.0
Q3_2023,unclassified,63,11249.43,2483.23,209.38,3374.82,17316.83,25975245.0,10091.24,7225.56,131040000.0,87360.0,-105064755.0
Q4_2023,domestic_production,496,12081945.7,7069903.73,232074.24,3624583.79,23008507.4,34512761100.0,4626594.59,18381912.97,1031680000.0,687786.67,33481081100.0
Q4_2023,gni_diaspora,113,2570965.9,1123256.37,35024.24,771289.75,4500536.27,6750804405.0,495886.43,4004649.78,235040000.0,156693.33,6515764405.0
Q4_2023,unclassified,63,18270.18,2399.86,211.24,5481.04,26362.36,39543540.0,17947.26,8415.18,131040000.0,87360.0,-91496460.0
Q1_2024,domestic_production,502,11850520.38,7327606.83,237674.94,3555156.21,22970958.5,34456437750.0,4730002.66,18240955.78,1044160000.0,696106.67,33412277750.0
Q1_2024,gni_diaspora,113,2913889.95,1222164.2,35864.78,874166.98,5046085.9,7569128850.0,587387.05,4458698.85,235040000.0,156693.33,7334088850.0
Q1_2024,unclassified,69,18350.59,2327.11,213.12,5505.19,26396.01,39594015.0,16894.39,9501.59,143520000.0,95680.0,-103925985.0
Q2_2024,domestic_production,509,13194146.48,8679051.3,243618.46,3958244.0,26075060.12,39112590180.0,6536787.13,19538273.08,1058720000.0,705813.33,38053870180.0
Q2_2024,gni_diaspora,114,3040159.31,1185044.24,36607.29,912047.78,5173858.67,7760788005.0,807425.25,4366433.45,237120000.0,158080.0,7523668005.0
Q2_2024,unclassified,69,25170.04,2254.36,214.47,7551.02,35189.92,52784880.0,20299.56,14890.37,143520000.0,95680.0,-90735120.0
Q3_2024,domestic_production,511,13260604.91,10277820.09,249498.18,3978181.47,27766104.85,41649157275.0,7812160.74,19953944.14,1062880000.0,708586.67,40586277275.0
Q3_2024,gni_diaspora,114,4203926.92,1303598.5,37322.83,1261178.07,6806026.38,10209039570.0,853836.95,5952189.41,237120000.0,158080.0,9971919570.0
Q3_2024,unclassified,71,26528.96,2713.24,216.14,7958.67,37416.98,56125470.0,20292.99,17124.03,147680000.0,98453.33,-91554530.0
Q4_2024,domestic_production,513,14151253.03,10133341.01,252130.39,4245375.88,28782100.56,43173150840.0,9357626.46,19424474.23,1067040000.0,711360.0,42106110840.0
Q4_2024,gni_diaspora,117,4113507.56,1363179.23,38061.11,1234052.25,6748800.19,10123200285.0,1150549.38,5598250.86,243360000.0,162240.0,9879840285.0
Q4_2024,unclassified,72,34885.37,2791.35,217.47,10465.58,48359.78,72539670.0,27542.82,20817.03,149760000.0,99840.0,-77220330.0
Q1_2025,domestic_production,515,13118835.33,9316369.52,260117.63,3935650.6,26630972.96,39946459440.0,9980310.61,16650662.49,1071200000.0,714133.33,38875259440.0
Q1_2025,gni_diaspora,118,3909212.81,1485949.65,38903.52,1172763.82,6606829.85,9910244775.0,1243904.72,5362925.09,245440000.0,163626.67,9664804775.0
Q1_2025,unclassified,74,27331.39,3097.41,218.73,8199.38,38846.86,58270290.0,25457.67,13389.22,153920000.0,102613.33,-95649710.0
Q2_2025,domestic_production,520,15182768.98,10714984.38,256445.55,4554830.77,30709029.49,46063544235.0,11741976.06,18967053.26,1081600000.0,721066.67,44981944235.0
Q2_2025,gni_diaspora,119,4299541.82,1659119.47,39844.21,1289862.59,7288367.98,10932551970.0,1596319.77,5692048.21,247520000.0,165013.33,10685031970.0
Q2_2025,unclassified,77,35517.73,1520.38,220.28,10655.35,47913.76,71870640.0,32801.14,15112.64,160160000.0,106773.33,-88289360.0
Q3_2025,domestic_production,522,15309950.01,10681031.89,261005.57,4592984.88,30844972.27,46267458405.0,11901885.46,18943086.71,1085760000.0,723840.0,45181698405.0
Q3_2025,gni_diaspora,120,4218312.56,1446463.38,41013.07,1265493.79,6971282.87,10456924305.0,1427403.07,5543879.79,249600000.0,166400.0,10207324305.0
Q3_2025,unclassified,78,48506.32,2218.14,222.54,14551.91,65498.93,98248395.0,38698.44,26800.56,162240000.0,108160.0,-63991605.0
Q4_2025,domestic_production,523,16355772.25,10760430.31,231584.72,4906731.66,32254518.96,48381778440.0,13662343.9,18592175.13,1087840000.0,725226.67,47293938440.0
Q4_2025,gni_diaspora,120,4528391.73,1377570.58,42071.49,1358517.5,7306551.37,10959827055.0,1868399.85,5438151.44,249600000.0,166400.0,10710227055.0
Q4_2025,unclassified,79,159336.18,5987.7,224.99,47800.89,213349.69,320024535.0,102908.87,110440.76,164320000.0,109546.67,155704535.0
Q1_2026,domestic_production,524,17584131.8,9453002.59,234917.91,5275239.43,32547291.89,48820937835.0,13396757.02,19150534.85,1089920000.0,726613.33,47731017835.0
Q1_2026,gni_diaspora,121,4996053.88,1342740.34,42956.71,1498816.15,7880567.06,11820850590.0,2074775.33,5805791.78,251680000.0,167786.67,11569170590.0
Q1_2026,unclassified,80,155305.4,7110.47,228.8,46591.62,209236.29,313854435.0,97783.02,111453.29,166400000.0,110933.33,147454435.0
Q2_2026,domestic_production,524,20096219.7,10344810.47,278845.02,6028865.88,36748740.92,55123111380.0,14905940.6,21842800.39,1089920000.0,726613.33,54033191380.0
Q2_2026,gni_diaspora,121,5422294.97,1338738.95,43801.23,1626688.46,8431523.57,12647285355.0,2061215.89,6370307.69,251680000.0,167786.67,12395605355.0
Q2_2026,unclassified,82,140860.71,42263.1,237.96,42258.21,225619.98,338429970.0,90911.62,134708.36,170560000.0,113706.67,167869970.0
Q3_2026,domestic_production,524,20967697.37,10235251.46,280694.12,6290309.18,37773952.17,56660928255.0,15781339.4,21992612.76,1089920000.0,726613.33,55571008255.0
Q3_2026,gni_diaspora,121,5393736.03,898586.08,44130.18,1618120.81,7954573.08,11931859620.0,1322596.74,6631976.37,251680000.0,167786.67,11680179620.0
Q3_2026,unclassified,82,130921.78,10760.01,241.48,39276.53,181199.87,271799805.0,78354.06,102845.84,170560000.0,113706.67,101239805.0
