nmas_artist_id,artist_name,in_sample,region,state_area,chartmetric_id,soundcharts_uuid,soundcharts_name,match_confidence,in_daily_microdata
adé-bantu,Adé Bantu,N,,,,a6e0fd80-0ce7-46b7-8e95-f9124574205f,Ade Bantu,exact_ng,N
afrikan-boy,Afrikan Boy,N,,,,11e81bc7-9f54-f7c4-9c55-a0369fe50396,Afrikan Boy,exact_foreign,N
afro-candy,Afro Candy,N,,,,,,unmatched,N
agbonayinma-ehiozuwa,Agbonayinma Ehiozuwa,N,,,,,,unmatched,N
agboola-shadare,Agboola Shadare,N,,,,0ff25678-c24b-11e8-8046-525400009efb,Agboola Shadare,exact_foreign,N
ahmad-s-nuhu,Ahmad S. Nuhu,N,North,Bauchi,,,,unmatched,N
aisosa,Aisosa,N,,,,ccb735bb-1214-418d-b715-057d0daa17ff,Aisosa,exact_ng,N
ajebo-hustlers,Ajebo Hustlers,N,,,,333122f9-5125-4d2b-be92-91b1a86bbf1f,Ajebo Hustlers,exact_ng,N
ajebutter22,Ajebutter22,Y,,,202020,11e83fe1-7743-6ce6-a586-aa1c026db3d8,Ajebutter22,exact_ng,Y
ajofé,Ajofé,N,,,,9ac61742-b1f3-43e4-9d50-32b517b74c12,ajofé.,exact_ng,N
akanbi-wright,Akanbi Wright,N,,,,,,unmatched,N
al-xapo,Al Xapo,N,,,,f4d2cdbf-1b78-4ffd-aabd-fc9ae42e389f,Al Xapo,exact_foreign,N
alamu-atatalo,Alamu Atatalo,N,,,,,,unmatched,N
ali-jita,Ali Jita,N,North,Kano,,cb11fecc-b8e1-11e8-9a7c-525400009efb,Ali Jita,exact_ng,N
alpha-p,Alpha P,N,,,,1cb0bb46-68f1-11e9-9121-e4434b2a4898,Alpha P,exact_ng,N
altims,Altims,N,,,,308026ca-d8ff-4b3d-b52d-3207d5eee233,Altims,exact_no_country,N
al-ameen,Al’ameen,N,North,Kano,,d9ec4ccd-34d0-4179-b155-925246f1e8e4,Alameen,exact_no_country,N
amaarae,Amaarae,Y,,,834689,11e83fed-8dd7-286a-83f4-a0369fe50396,Amaarae,exact_foreign,Y
amarachi,Amarachi,N,,,,11e83fe4-16d5-ac90-80e2-a0369fe50396,Amarachi,exact_ng,N
aminu-ala,Aminu Ala,N,,,,6d102774-e7a7-4421-a363-f98975004065,Aminu Ala,exact_no_country,N
aminu-alan-waka,Aminu Alan Waka,N,,,,7867e2bd-89c2-4430-925a-bdcb2e4839d9,Aminu Alan Waka,exact_ng,N
aminu-ladan,Aminu Ladan,N,North,,,f64552d8-127d-11e9-b15f-549f35141000,Aminu Ladan Alan Waka,ng_only,N
amma,Amma,N,,,,3e4494d7-6671-4e40-810c-f138807f3d8a,Amma,exact_ng,N
andre-blaze,Andre Blaze,N,,,,a4f68ec1-78bd-4840-85c3-f64d67fe02cd,Andre Blaze,exact_no_country,N
andre-vibez,Andre Vibez,N,,,,b87e7fb7-acb5-4f52-9569-7001e601864f,Andre Vibez,exact_foreign,N
anike,Anike,N,,,,11e81bc0-18f5-77dc-bfbc-a0369fe50396,Anike,exact_foreign,N
anyidons,Anyidons,N,South,,,b699e4f2-f0f1-11e9-a251-801844ee83a6,Anyidons,exact_ng,N
ara,Ara,N,,,,,,unmatched,N
aramide,Aramide,N,,,,11e83fe6-4669-7e4e-bbf4-a0369fe50396,Aramide,exact_ng,N
artquake,Artquake,N,,,,11e81bc1-c46d-fd40-980e-a0369fe50396,Artquake,exact_no_country,N
asake,Asake,Y,South,Lagos,1779041,fbe8f070-b8f8-11e8-af3e-525400009efb,Asake,exact_ng,Y
asuquomo,Asuquomo,N,,,,aa05675c-a876-11e9-b119-e4434b16cb7a,Asuquomo,exact_ng,N
audo-yaron-goje,Audo Yaron Goje,N,,,,,,unmatched,N
auta-mg-boy,Auta Mg Boy,N,North,,,608d99a5-b69f-46f1-95c9-4964f485af41,Auta Mg Boy,exact_ng,N
auta-waziri,Auta Waziri,N,North,Sokoto,,75cefee0-b496-4844-aad1-f02609d62b1d,Auta Waziri,exact_ng,N
auwal-danladi,Auwal Danladi,N,North,Katsina,,,,unmatched,N
ayeloyun,Ayeloyun,N,,,,e0ea670a-eb93-461d-ae66-3f031a0e0ea9,Ayeloyun,exact_no_country,N
ayinde-bakare,Ayinde Bakare,N,,,,11e81bbc-9591-0512-b5c8-a0369fe50396,Ayinde Bakare,exact_no_country,N
ayinde-barrister,Ayinde Barrister,N,,,,23f9d8f6-8fee-4321-84b2-199526b23d1d,Ayinde Barrister,exact_no_country,N
ayinla-kollington,Ayinla Kollington,N,,,,02e9548f-fe43-4113-b703-3d7d019a245e,Ayinla Kollington,exact_no_country,N
ayinla-omowura,Ayinla Omowura,N,,,,7936233c-f929-4fbf-9d31-784b8fdb7157,Ayinla Omowura,exact_no_country,N
ayjay-bobo,Ayjay bobo,N,,,,c4faf776-9099-4e92-b0d4-a8a46a26a8fc,Ayjay bobo,exact_ng,N
ayo-maff,Ayo Maff,N,South,,,c85413b6-69ae-47b6-8219-87c66a967878,Ayo Maff,exact_ng,N
ayo-vincent,Ayo Vincent,N,,,,365d4e98-4b53-4de7-828f-bd00603a5318,Ayo Vincent,exact_ng,N
ayola,Ayola,N,,,,37e94b84-4669-11ea-9451-549f35141000,Ayola,exact_ng,N
ayomaf,Ayomaf,N,South,,,,,unmatched,N
ayra-starr,Ayra Starr,Y,South,Lagos,4200054,440f0f3d-170e-4be3-ac0a-182326bf51f6,Ayra Starr,exact_ng,Y
azanti,Azanti,N,,,,c8501053-edbc-43a9-a4a2-12e98fb18f9e,Azanti,exact_ng,N
aṣa,Aṣa,Y,,,63541,11e81bc7-0336-16d4-827a-a0369fe50396,Aṣa,exact_foreign,Y
b-o-c-madaki,B.O.C Madaki,N,North,Kano,,704ed2ed-0f49-47ab-bf18-cedc390eeef0,B.O.C Madaki,exact_no_country,N
bbo,BBO,N,,,,1d048c6b-60a4-4b09-bae2-befa2898c904,BBO,exact_ng,N
bnxn,BNXN,Y,South,Lagos,1363515,11e83fe9-d026-36d8-8f3f-aa1c026db3d8,BNXN,exact_ng,Y
babatunde-olatunji,Babatunde Olatunji,N,,,,11e81bc3-3ab8-54a4-a7fa-a0369fe50396,Babatunde Olatunji,exact_ng,N
babydaiz,BabyDaiz,N,,,,6cb9d8f2-204d-4789-90bc-e5fa2c51d98d,BabyDaiz,exact_foreign,N
babyboy-av,Babyboy AV,N,,,,1c0935a2-9efc-4af8-ba85-9b8860de41e2,Babyboy AV,exact_ng,N
babá-ken-okulolo,Babá Ken Okulolo,N,,,,3931efae-c605-11e8-b21b-549f35141000,Babá Ken Okulolo,exact_no_country,N
bad-boy-timz,Bad Boy Timz,Y,South,,1596343,af27eea6-8933-11e9-b0df-549f35161576,Bad Boy Timz,exact_ng,Y
bala-miller,Bala Miller,N,,,,11e81bc2-bb70-85e0-9de3-a0369fe50396,Bala Miller,exact_no_country,N
balarabe-maikura,Balarabe Maikura,N,North,Kano,,,,unmatched,N
balloranking,Balloranking,N,,,,533570e7-c145-4d24-aa43-b2ccfb4e2b6d,Balloranking,exact_ng,N
banky-w,Banky W.,Y,South,Lagos,107373,11e81bcd-0487-be9c-8bf1-a0369fe50396,Banky W.,exact_ng,Y
bantu,Bantu,N,,,,11e81bd1-208e-8978-b868-a0369fe50396,Bantu,exact_ng,N
barbara-soky,Barbara Soky,N,,,,,,unmatched,N
barmani-choge,Barmani Choge,N,,,,5fc98e69-efb1-4644-8cb7-7fdc4acfd61a,Barmani Choge,exact_no_country,N
barry-jhay,Barry Jhay,N,South,,,11e8aa02-e65d-4788-81f6-525400009efb,Barry Jhay,exact_ng,N
batile-alake,Batile Alake,N,,,,11e81bbf-9329-132a-a057-a0369fe50396,Batile Alake,exact_no_country,N
bawa-bula,Bawa Bula,N,North,Niger,,,,unmatched,N
bayanni,Bayanni,Y,,,9591956,1a43db25-4375-45ef-ba3e-7c9367f4cad5,Bayanni,exact_ng,Y
beautiful-nubia,Beautiful Nubia,N,South,,,c3c245e0-fa0a-11e8-9b82-549f35141000,Beautiful Nubia,exact_ng,N
beezy-x,Beezy X,N,,,,,,unmatched,N
bella-alubo,Bella Alubo,N,South,Edo,,7d8200f6-c6bc-11e8-b2c6-525400009efb,Bella Alubo,exact_ng,N
bella-kay,Bella Kay,N,,,,5e445c27-0542-4425-bb1c-2af3038d28be,Bella Kay,exact_foreign,N
bella-shmurda,Bella Shmurda,Y,South,Lagos,1526513,95344eec-423c-11e9-8db6-549f35141000,Bella Shmurda,exact_ng,Y
bello-sisqo,Bello Sisqo,N,,,,c7b37b51-582b-4652-9403-69b97d4e9ac7,Bello Sisqo,exact_foreign,N
benjiflow,BenjiFlow,N,,,,66498ce6-de14-11e8-805c-525400009efb,BenjiFlow,exact_foreign,N
benzoo,Benzoo,N,,,,2a7a9978-40bd-44a3-91db-5d0d5d58db1a,Benzoo,exact_no_country,N
bhadboi-oml,Bhadboi OML,N,,,,f4aba615-6bcb-4bb7-8525-0bbfaaaf2311,BhadBoi OML,exact_ng,N
bhadboy-oml,Bhadboy OML,N,,,,60f10101-bd83-4df7-b630-d36c960e55da,Bhadboy Oml,exact_no_country,N
bidemi-olaoba,Bidemi Olaoba,N,,,,11e83fee-32ae-4e04-8faf-a0369fe50396,Bidemi Olaoba,exact_ng,N
billar-stoner,Billar Stoner,N,,,,b1e396d4-5b0b-40da-aff2-8b710a3530e3,Billar stoner,exact_ng,N
blackface-naija,Blackface Naija,N,,,,11e8aa03-0997-e672-96c1-525400009efb,BLACKFACE NAIJA,exact_ng,N
blackmagic,Blackmagic,N,,,,11e83fe1-61f8-a43c-8020-aa1c026db3d8,BlackMagic,exact_ng,N
blaisebeatz,Blaisebeatz,N,,,,ac250a20-b38b-4143-ae82-4dab48e12c80,Blaisebeatz,exact_no_country,N
blaqbonez,Blaqbonez,Y,South,Lagos,880055,090ce0d4-b33d-11e8-b1c2-525400009efb,Blaqbonez,exact_ng,Y
blessing-offor,Blessing Offor,N,,,,11e83fe1-032d-5cfe-a48c-aa1c026db3d8,Blessing Offor,exact_ng,N
bloody-civilian,Bloody Civilian,Y,,,9901852,0521d08a-9168-4c3a-9f8d-46d2b3c36ea3,Bloody Civilian,exact_ng,Y
bobby-benson,Bobby Benson,N,,,,11e83fe7-779e-43cc-8ab1-aa1c026db3d8,Bobby Benson,exact_ng,N
boi-chase,Boi Chase,N,,,,3d441734-ed30-4fb1-b345-098337634922,Boi Chase,exact_ng,N
boj,Boj,Y,,,317847,11e83fe1-9f7d-e4f2-87f0-a0369fe50396,Boj,exact_ng,Y
bola-abimbola,Bola Abimbola,N,,,,11e81bc9-e15d-deae-b15f-a0369fe50396,Bola Abimbola,exact_ng,N
bola-are,Bola Are,N,,,,93b80d58-136f-49b9-aa10-7daf829e24b7,Bola Are,exact_no_country,N
bongos-ikwue,Bongos Ikwue,N,,,,11e81bbe-8346-fe6e-905f-a0369fe50396,Bongos Ikwue,exact_ng,N
boogey,Boogey,N,,,,11e81bc6-b4a6-07a4-a002-a0369fe50396,Boogey,exact_ng,N
bouqui,Bouqui,N,,,,57dbb1b0-0476-11e9-9dc4-549f35141000,Bouqui,exact_ng,N
boy-muller,Boy Muller,N,,,,edcd90dc-5b72-4d5f-a1a3-a5ab07d47951,Boy Muller,exact_ng,N
boy-spyce,Boy Spyce,Y,,,6124353,d0409c99-c83e-403e-9a1e-a73ff46e7fe6,Boy Spyce,exact_ng,Y
boypee,BoyPee,N,,,,3de90cf8-5464-4372-b5f2-e875ab7fe62a,BoyPee,exact_ng,N
boyskido,Boyskido,N,North,,,8ffc2ff6-ea55-4573-8bbc-5f78e02176b1,Boyskido,exact_ng,N
bracket,Bracket,Y,,,712,11e81bc9-a2b1-6536-9259-a0369fe50396,Bracket,exact_ng,Y
bright-chimezie,Bright Chimezie,N,,,,707c669a-c65c-11e8-a830-549f35141000,Bright Chimezie,exact_no_country,N
broda-shaggi,Broda Shaggi,N,South,,,11e8aa02-e790-5ba4-9ab6-525400009efb,Broda Shaggi,exact_ng,N
brown-joel,Brown Joel,N,,,,77957f10-86b0-11e9-a14c-549f35141000,Brown Joel,exact_ng,N
brymo,Brymo,Y,South,,15051,11e81bbe-54ed-29d0-9ff6-a0369fe50396,Brymo,exact_ng,Y
buchi,Buchi,N,,,,11e8ac08-e343-eee6-b08d-525400009efb,Buchi,exact_ng,N
burna-boy,Burna Boy,Y,South,Rivers,441923,14ff75bc-4c73-11e9-a24b-549f35141000,Burna Boy,exact_ng,Y
cdq,CDQ,Y,,,101087,11e83fe2-3f9a-9fc0-8f52-a0369fe50396,CDQ,exact_ng,Y
ckay,CKay,Y,South,Anambra,919695,11e83fec-1580-802e-81df-aa1c026db3d8,Ckay,exact_ng,Y
candy-bleakz,Candy Bleakz,N,,,,69f7c240-8382-11e9-b105-e4434b16cb7a,Candy Bleakz,exact_ng,N
ceeboi,Ceeboi,N,,,,91e2488a-e47f-4109-ab20-133c5a35ee4d,Ceeboi,exact_no_country,N
celestine-ukwu,Celestine Ukwu,N,,,,11e81bd1-84cc-6f54-819f-a0369fe50396,Celestine Ukwu,exact_ng,N
champz,Champz,N,South,,,d4ad3708-0d0f-4ba9-917c-1b7895cd3ee2,Champz,exact_ng,N
charly-boy,Charly Boy,N,,,,fd2556e0-c613-11e8-9bd1-549f35141000,Charly Boy,exact_ng,N
chech,Chech,N,,,,28d80660-71b3-4f09-bb3e-f3993a9ca250,Chech,exact_ng,N
chella,Chella,N,,,,a48434b9-63db-4980-a05d-56404f0fb2af,Chella,exact_foreign,N
cheque,Cheque,N,South,,,bc8ed13e-87be-11e9-8e36-549f35141000,Cheque,exact_ng,N
chidinma,Chidinma,N,,,,11e81bc7-079d-5aac-9ddf-a0369fe50396,Chidinma,exact_ng,N
chief-stephen-osita-osadebe,Chief Stephen Osita Osadebe,N,,,,11e81bc9-3074-d96c-a66b-a0369fe50396,Chief Stephen Osita Osadebe,exact_ng,N
chigozie-wisdom,Chigozie Wisdom,N,,,,1eb3b586-3ce7-11ea-aa5f-549f35161576,Chigozie Wisdom,exact_ng,N
chike,Chike,Y,South,Anambra,1139022,11e81bc0-0cbc-b08e-bee2-a0369fe50396,Chike,exact_ng,Y
chinko-ekun,Chinko Ekun,N,,,,11e83fe2-8d87-6c86-83b1-aa1c026db3d8,Chinko Ekun,exact_ng,N
chinyere-udoma,Chinyere Udoma,N,,,,d1f41138-21a2-11e9-91c1-549f35141000,Chinyere Udoma,exact_ng,N
chioma-jesus,Chioma Jesus,N,,,,7bdec046-ef93-40b4-9e36-cf5b15cd1ebc,Chioma Jesus,exact_ng,N
chopstix,Chopstix,N,,,,11e81bcb-3eb4-b964-82b1-a0369fe50396,Chopstix,exact_ng,N
chris-ajilo,Chris Ajilo,N,,,,013e1abe-c614-11e8-af22-549f35161576,Chris Ajilo,exact_no_country,N
chris-delvan-gwamna,Chris Delvan Gwamna,N,,,,11e83fe6-184e-f764-8b60-a0369fe50396,Chris Delvan Gwamna,exact_ng,N
christy-essien-igbokwe,Christy Essien-Igbokwe,N,,,,11e81bc2-30a0-d096-9aa2-a0369fe50396,Christy Essien Igbokwe,exact_foreign,N
christy-ogbah,Christy Ogbah,N,,,,11e81bbf-5a28-e64a-b946-a0369fe50396,Christy Ogbah,exact_no_country,N
ciza,Ciza,N,,,,44ef4f27-335d-49a7-94ee-24b7795d1d40,Ciza,exact_ng,N
classiq,Classiq,N,North,Kaduna,,11e83fe7-3d89-36c4-b042-aa1c026db3d8,ClassiQ,exact_ng,N
cobhams-asuquo,Cobhams Asuquo,N,South,Cross River,,11e81bc6-c465-d87c-89d6-a0369fe50396,Cobhams Asuquo,exact_ng,N
comfort-omoge,Comfort Omoge,N,,,,c8929a45-0e62-4b00-8a37-031ebaf29805,Comfort Omoge,exact_no_country,N
cornelius-adam-igbudu,Cornelius Adam Igbudu,N,,,,,,unmatched,N
crayon,Crayon,Y,,,1705853,4071305e-b790-11e9-94f0-00163ec5a2fb,Crayon,exact_foreign,Y
cruel-santino,Cruel Santino,Y,,,921836,7d459933-46a9-49bd-bebc-b48dad4284e3,Cruel Santino,exact_ng,Y
cupidszn,CupidSzn,N,South,,,b52989c6-52d8-4ecd-b7b6-5cfbc0f3a602,CupidSZN,exact_ng,N
cynthia-morgan,Cynthia Morgan,N,,,,11e81bbf-67fb-f4f6-8200-a0369fe50396,Cynthia Morgan,exact_ng,N
d-prince,D'Prince,N,,,,11e83fe0-8fbc-13b4-8fbc-aa1c026db3d8,D'Prince,exact_ng,N
d-banj,D'banj,Y,South,Ogun,3225,11e81bc7-2e44-87a2-9ff7-a0369fe50396,D'banj,exact_ng,Y
deto-black,DETO BLACK,N,,,,e18ffab7-ac22-443e-ad29-ef19f7130f52,DETO BLACK,exact_ng,N
dj-4kerty,DJ 4Kerty,N,North,,,5b835716-372d-11e9-8a05-549f35161576,Dj 4kerty,exact_ng,N
dj-ab,DJ AB,N,North,Kaduna,,7a9dc5ea-c460-11e8-9f7c-525400009efb,DJ Ab,exact_ng,N
dj-ab-442,DJ AB 442,N,,,,,,unmatched,N
dj-baddo,DJ Baddo,N,North,Kano,,11e83fe4-e29c-688c-bdd0-aa1c026db3d8,DJ Baddo,exact_ng,N
dj-bally,DJ Bally,N,,,,6be9e00a-54b4-4452-a48c-2bd8f9333f96,Dj Bally,exact_no_country,N
dj-big-n,DJ Big N,N,,,,11e83fe7-1c60-048c-a601-aa1c026db3d8,DJ Big N,exact_ng,N
dj-caise,DJ Caise,N,,,,11e83fec-6148-bf30-9b53-aa1c026db3d8,DJ Caise,exact_no_country,N
dj-coublon,DJ Coublon,N,,,,11e83fec-85af-49f2-8321-aa1c026db3d8,DJ Coublon,exact_ng,N
dj-cuppy,DJ Cuppy,Y,,,12822800,3cbe1ad5-4fbd-4f8f-92c6-2c2711ebb6a1,Dj Cuppy,exact_no_country,Y
dj-enimoney,DJ Enimoney,N,,,,11e83fe6-6fe2-fc46-88a8-a0369fe50396,Dj Enimoney,exact_ng,N
dj-kaywise,DJ Kaywise,N,,,,11e81bcb-65b3-10d8-bb18-a0369fe50396,DJ Kaywise,exact_ng,N
dj-neptune,DJ Neptune,Y,South,,269281,11e83fe0-3869-816e-b026-a0369fe50396,DJ Neptune,exact_ng,Y
dj-shawn,DJ Shawn,N,,,,11e83fed-3e08-d23e-a78b-aa1c026db3d8,DJ Shawn,exact_ng,N
dj-spinall,DJ Spinall,Y,,,1068888,11e83fe1-2cd5-afde-97dd-aa1c026db3d8,DJ Spinall,exact_ng,Y
dj-switch,DJ Switch,N,,,,11e81bbb-399e-84c4-b7e9-a0369fe50396,DJ Switch,exact_foreign,N
dj-tunez,DJ Tunez,N,,,,030329a3-d20b-43e1-8a67-dc785a1d7a9e,DJ Tunez,exact_ng,N
dj-xclusive,DJ Xclusive,N,,,,11e83fdf-fe0b-e3c2-8c15-aa1c026db3d8,DJ Xclusive,exact_ng,N
dotti-the-deity,DOTTi The Deity,N,,,,da36fac7-7e0b-4a3e-bd7a-2bcf32a77cc8,DOTTi The Deity,exact_ng,N
drb-lasgidi,DRB Lasgidi,N,,,,11e83fe9-d02e-ff16-8844-aa1c026db3d8,DRB Lasgidi,exact_ng,N
da-emperor,Da Emperor,N,,,,11e81bba-cc3c-a302-8d2f-a0369fe50396,Da Emperor,exact_ng,N
da-grin,Da Grin,N,,,,11e83fe0-d0bc-8b1e-ac4a-aa1c026db3d8,Da Grin,exact_ng,N
daddy-fresh,Daddy Fresh,N,,,,11e81bc2-184e-74c6-8960-a0369fe50396,Daddy Fresh,exact_ng,N
daddy-showkey,Daddy Showkey,N,,,,11e83fe1-c610-6d88-a4f1-aa1c026db3d8,Daddy Showkey,exact_ng,N
daecolm,Daecolm,N,,,,11e81bbe-54e4-0080-88b5-a0369fe50396,Daecolm,exact_foreign,N
dahiru-mai-lafiya,Dahiru Mai Lafiya,N,,,,,,unmatched,N
dahiru-wali,Dahiru Wali,N,North,,,,,unmatched,N
dami-oniru,Dami Oniru,N,,,,6d3a5f10-c610-11e8-a2a9-549f35141000,Dami Oniru,exact_ng,N
dammy-krane,Dammy Krane,Y,,,423004,11e81bcb-904d-95e8-9170-a0369fe50396,Dammy Krane,exact_ng,Y
dan-maraya,Dan Maraya,N,,,,11e83fe6-389b-0544-bf46-aa1c026db3d8,Dan Maraya,exact_ng,N
dan-maraya-jos,Dan Maraya Jos,N,,,,4f4b136c-c612-11e8-ad44-549f35161576,Dan Maraya Jos,exact_no_country,N
dan-musa,Dan Musa,N,North,Jigawa,,035dbce0-6e1c-4b2e-8701-958db81d6710,Dan Musa,exact_no_country,N
dan-musa-new-prince,Dan Musa New Prince,N,North,Northern Nigeria,,,,unmatched,N
dandizzy,Dandizzy,N,,,,4ae9d39a-b8f1-11e8-8d41-525400009efb,DanDizzy,exact_ng,N
dapo-torimiro,Dapo Torimiro,N,,,,11e81bc7-7650-11c4-b01f-a0369fe50396,Dapo Torimiro,exact_no_country,N
darey,Darey,Y,,,510303,11e83fe3-9279-0884-b06a-aa1c026db3d8,Darey,exact_ng,Y
dareysteel,Dareysteel,N,,,,11e81bcc-c15e-b6c0-a6fb-a0369fe50396,Dareysteel,exact_foreign,N
darkoo,Darkoo,Y,,,821653,11e83fee-736a-5e06-aedf-a0369fe50396,Darkoo,exact_foreign,Y
dauda-epo-akara,Dauda Epo-Akara,N,,,,c616532b-d047-4ccb-b450-61b974af53db,Alhaji Dauda Epo Akara Awurebe King,ambiguous,N
dauda-kahutu-rarara,Dauda Kahutu Rarara,N,North,Kano,,5e4e220a-5020-4aa5-8e95-8e0d195db94b,Dauda Kahutu Rarara,exact_ng,N
davido,Davido,Y,South,Osun,4723,11e81bc8-7fc6-6428-9478-a0369fe50396,Davido,exact_ng,Y
davolee,Davolee,N,South,,,66d1c1e8-d0fd-11e8-924a-549f35141000,Davolee,exact_ng,N
dede-mabiaku,Dede Mabiaku,N,,,,476d4224-d188-4f7d-aae7-8e8f453e9215,Dede Mabiaku,exact_ng,N
deena-ade,Deena Ade,N,,,,11e83fed-f0b3-dc1c-a095-aa1c026db3d8,Deena Ade,exact_ng,N
deezell,Deezell,N,,,,11e83fe6-dad1-b164-a44c-aa1c026db3d8,Deezell,exact_foreign,N
dekumzy,Dekumzy,N,,,,920b3e46-405d-11e9-b5c4-549f35161576,Dekumzy,exact_ng,N
dele-ojo,Dele Ojo,N,,,,11e83fe4-c7ea-1a20-8f8d-a0369fe50396,Dele Ojo,exact_foreign,N
dele-taiwo,Dele Taiwo,N,,,,11e83fec-3b54-407e-97f2-aa1c026db3d8,Dele Taiwo,exact_no_country,N
dencia,Dencia,N,,,,11e83feb-2b3b-e454-86b1-aa1c026db3d8,Dencia,exact_foreign,N
deobi,Deobi,N,,,,8bc17b08-26c2-4444-b2cb-1193e37504bc,Deobi,exact_ng,N
di-ja,Di'Ja,N,South,Kaduna,,11e81bbd-ccc9-10fa-a1ab-a0369fe50396,Di'ja,exact_ng,N
dice-ailes,Dice Ailes,Y,,,627972,11e81bc8-87ed-a4d6-9ccf-a0369fe50396,Dice Ailes,exact_ng,Y
dizzy-k-falola,Dizzy K Falola,N,,,,11e81bbb-043f-621c-9dcc-a0369fe50396,Dizzy K Falola,exact_foreign,N
don-jazzy,Don Jazzy,N,,,,11e81bc9-ffcf-63da-acf0-a0369fe50396,Don Jazzy,exact_ng,N
douyé,Douyé,N,,,,11e83fe0-2d0d-91fc-a79a-aa1c026db3d8,Douyé,exact_foreign,N
dr-roy,Dr Roy,N,,,,47876210-79fb-4f89-9a7b-4dfa3c9d7a48,Dr Roy,exact_no_country,N
dr-sid,Dr SID,N,,,,11e81bcd-3bdb-0b06-a6ee-a0369fe50396,Dr Sid,exact_ng,N
dr-sir-warrior,Dr Sir Warrior,N,,,,11e81bca-6671-ab16-a491-a0369fe50396,Dr Sir Warrior,exact_ng,N
dr-alban,Dr. Alban,N,,,,11e81bc9-d495-cf6a-9550-a0369fe50396,Dr. Alban,exact_ng,N
dremo,Dremo,Y,,,367518,11e83fe7-2406-7860-a473-aa1c026db3d8,Dremo,exact_ng,Y
duncan-mighty,Duncan Mighty,Y,South,Rivers,410515,11e83fe0-9794-2bf8-b680-aa1c026db3d8,Duncan Mighty,exact_ng,Y
dunni-olanrewaju,Dunni Olanrewaju,N,,,,,,unmatched,N
dunsin-oyekan,Dunsin Oyekan,N,South,,,11e83fea-1f9c-4fb8-967b-a0369fe50396,Dunsin Oyekan,exact_ng,N
elmah,ELMAH,N,,,,9d0c1f6e-e171-4296-babc-3c5a8d1f2e01,ELMAH,exact_ng,N
