period_label,account,category,artists,unit_cost_ngn,basis,cost_ngn,cost_usd
Q3_2019,unclassified,Web Hosting & CDN,39,50000,per artist per quarter,1950000,6353.45
Q3_2019,unclassified,Promotion & Marketing,39,250000,per artist per quarter x 2 track(s),19500000,63534.47
Q4_2019,domestic_production,Studio Production,354,750000,per artist per quarter x 2 track(s),531000000,1730092.53
Q4_2019,domestic_production,Digital Distribution,354,15000,per artist per quarter x 2 track(s),10620000,34601.85
Q4_2019,domestic_production,Web Hosting & CDN,354,50000,per artist per quarter,17700000,57669.75
Q4_2019,domestic_production,Promotion & Marketing,354,250000,per artist per quarter x 2 track(s),177000000,576697.51
Q4_2019,gni_diaspora,Studio Production,85,750000,per artist per quarter x 2 track(s),127500000,415417.7
Q4_2019,gni_diaspora,Digital Distribution,85,15000,per artist per quarter x 2 track(s),2550000,8308.35
Q4_2019,gni_diaspora,Web Hosting & CDN,85,50000,per artist per quarter,4250000,13847.26
Q4_2019,gni_diaspora,Promotion & Marketing,85,250000,per artist per quarter x 2 track(s),42500000,138472.57
Q4_2019,unclassified,Studio Production,41,750000,per artist per quarter x 2 track(s),61500000,200377.95
Q4_2019,unclassified,Digital Distribution,41,15000,per artist per quarter x 2 track(s),1230000,4007.56
Q4_2019,unclassified,Web Hosting & CDN,41,50000,per artist per quarter,2050000,6679.26
Q4_2019,unclassified,Promotion & Marketing,41,250000,per artist per quarter x 2 track(s),20500000,66792.65
Q1_2020,domestic_production,Studio Production,361,750000,per artist per quarter x 2 track(s),541500000,1509155.26
Q1_2020,domestic_production,Digital Distribution,361,15000,per artist per quarter x 2 track(s),10830000,30183.11
Q1_2020,domestic_production,Web Hosting & CDN,361,50000,per artist per quarter,18050000,50305.18
Q1_2020,domestic_production,Promotion & Marketing,361,250000,per artist per quarter x 2 track(s),180500000,503051.75
Q1_2020,gni_diaspora,Studio Production,86,750000,per artist per quarter x 2 track(s),129000000,359521.75
Q1_2020,gni_diaspora,Digital Distribution,86,15000,per artist per quarter x 2 track(s),2580000,7190.44
Q1_2020,gni_diaspora,Web Hosting & CDN,86,50000,per artist per quarter,4300000,11984.06
Q1_2020,gni_diaspora,Promotion & Marketing,86,250000,per artist per quarter x 2 track(s),43000000,119840.58
Q1_2020,unclassified,Studio Production,41,750000,per artist per quarter x 2 track(s),61500000,171399.91
Q1_2020,unclassified,Digital Distribution,41,15000,per artist per quarter x 2 track(s),1230000,3428.0
Q1_2020,unclassified,Web Hosting & CDN,41,50000,per artist per quarter,2050000,5713.33
Q1_2020,unclassified,Promotion & Marketing,41,250000,per artist per quarter x 2 track(s),20500000,57133.3
Q2_2020,domestic_production,Studio Production,386,750000,per artist per quarter x 2 track(s),579000000,1613667.4
Q2_2020,domestic_production,Digital Distribution,386,15000,per artist per quarter x 2 track(s),11580000,32273.35
Q2_2020,domestic_production,Web Hosting & CDN,386,50000,per artist per quarter,19300000,53788.91
Q2_2020,domestic_production,Promotion & Marketing,386,250000,per artist per quarter x 2 track(s),193000000,537889.13
Q2_2020,gni_diaspora,Studio Production,93,750000,per artist per quarter x 2 track(s),139500000,388785.15
Q2_2020,gni_diaspora,Digital Distribution,93,15000,per artist per quarter x 2 track(s),2790000,7775.7
Q2_2020,gni_diaspora,Web Hosting & CDN,93,50000,per artist per quarter,4650000,12959.51
Q2_2020,gni_diaspora,Promotion & Marketing,93,250000,per artist per quarter x 2 track(s),46500000,129595.05
Q2_2020,unclassified,Studio Production,43,750000,per artist per quarter x 2 track(s),64500000,179760.88
Q2_2020,unclassified,Digital Distribution,43,15000,per artist per quarter x 2 track(s),1290000,3595.22
Q2_2020,unclassified,Web Hosting & CDN,43,50000,per artist per quarter,2150000,5992.03
Q2_2020,unclassified,Promotion & Marketing,43,250000,per artist per quarter x 2 track(s),21500000,59920.29
Q3_2020,domestic_production,Studio Production,408,750000,per artist per quarter x 2 track(s),612000000,1705638.08
Q3_2020,domestic_production,Digital Distribution,408,15000,per artist per quarter x 2 track(s),12240000,34112.76
Q3_2020,domestic_production,Web Hosting & CDN,408,50000,per artist per quarter,20400000,56854.6
Q3_2020,domestic_production,Promotion & Marketing,408,250000,per artist per quarter x 2 track(s),204000000,568546.03
Q3_2020,gni_diaspora,Studio Production,95,750000,per artist per quarter x 2 track(s),142500000,397146.12
Q3_2020,gni_diaspora,Digital Distribution,95,15000,per artist per quarter x 2 track(s),2850000,7942.92
Q3_2020,gni_diaspora,Web Hosting & CDN,95,50000,per artist per quarter,4750000,13238.2
Q3_2020,gni_diaspora,Promotion & Marketing,95,250000,per artist per quarter x 2 track(s),47500000,132382.04
Q3_2020,unclassified,Studio Production,46,750000,per artist per quarter x 2 track(s),69000000,192302.33
Q3_2020,unclassified,Digital Distribution,46,15000,per artist per quarter x 2 track(s),1380000,3846.05
Q3_2020,unclassified,Web Hosting & CDN,46,50000,per artist per quarter,2300000,6410.08
Q3_2020,unclassified,Promotion & Marketing,46,250000,per artist per quarter x 2 track(s),23000000,64100.78
Q4_2020,domestic_production,Studio Production,419,750000,per artist per quarter x 2 track(s),628500000,1751623.42
Q4_2020,domestic_production,Digital Distribution,419,15000,per artist per quarter x 2 track(s),12570000,35032.47
Q4_2020,domestic_production,Web Hosting & CDN,419,50000,per artist per quarter,20950000,58387.45
Q4_2020,domestic_production,Promotion & Marketing,419,250000,per artist per quarter x 2 track(s),209500000,583874.47
Q4_2020,gni_diaspora,Studio Production,98,750000,per artist per quarter x 2 track(s),147000000,409687.58
Q4_2020,gni_diaspora,Digital Distribution,98,15000,per artist per quarter x 2 track(s),2940000,8193.75
Q4_2020,gni_diaspora,Web Hosting & CDN,98,50000,per artist per quarter,4900000,13656.25
Q4_2020,gni_diaspora,Promotion & Marketing,98,250000,per artist per quarter x 2 track(s),49000000,136562.53
Q4_2020,unclassified,Studio Production,46,750000,per artist per quarter x 2 track(s),69000000,192302.33
Q4_2020,unclassified,Digital Distribution,46,15000,per artist per quarter x 2 track(s),1380000,3846.05
Q4_2020,unclassified,Web Hosting & CDN,46,50000,per artist per quarter,2300000,6410.08
Q4_2020,unclassified,Promotion & Marketing,46,250000,per artist per quarter x 2 track(s),23000000,64100.78
Q1_2021,domestic_production,Studio Production,426,750000,per artist per quarter x 2 track(s),639000000,1592920.35
Q1_2021,domestic_production,Digital Distribution,426,15000,per artist per quarter x 2 track(s),12780000,31858.41
Q1_2021,domestic_production,Web Hosting & CDN,426,50000,per artist per quarter,21300000,53097.35
Q1_2021,domestic_production,Promotion & Marketing,426,250000,per artist per quarter x 2 track(s),213000000,530973.45
Q1_2021,gni_diaspora,Studio Production,101,750000,per artist per quarter x 2 track(s),151500000,377664.22
Q1_2021,gni_diaspora,Digital Distribution,101,15000,per artist per quarter x 2 track(s),3030000,7553.28
Q1_2021,gni_diaspora,Web Hosting & CDN,101,50000,per artist per quarter,5050000,12588.81
Q1_2021,gni_diaspora,Promotion & Marketing,101,250000,per artist per quarter x 2 track(s),50500000,125888.07
Q1_2021,unclassified,Studio Production,47,750000,per artist per quarter x 2 track(s),70500000,175744.73
Q1_2021,unclassified,Digital Distribution,47,15000,per artist per quarter x 2 track(s),1410000,3514.89
Q1_2021,unclassified,Web Hosting & CDN,47,50000,per artist per quarter,2350000,5858.16
Q1_2021,unclassified,Promotion & Marketing,47,250000,per artist per quarter x 2 track(s),23500000,58581.58
Q2_2021,domestic_production,Studio Production,435,750000,per artist per quarter x 2 track(s),652500000,1626573.6
Q2_2021,domestic_production,Digital Distribution,435,15000,per artist per quarter x 2 track(s),13050000,32531.47
Q2_2021,domestic_production,Web Hosting & CDN,435,50000,per artist per quarter,21750000,54219.12
Q2_2021,domestic_production,Promotion & Marketing,435,250000,per artist per quarter x 2 track(s),217500000,542191.2
Q2_2021,gni_diaspora,Studio Production,102,750000,per artist per quarter x 2 track(s),153000000,381403.47
Q2_2021,gni_diaspora,Digital Distribution,102,15000,per artist per quarter x 2 track(s),3060000,7628.07
Q2_2021,gni_diaspora,Web Hosting & CDN,102,50000,per artist per quarter,5100000,12713.45
Q2_2021,gni_diaspora,Promotion & Marketing,102,250000,per artist per quarter x 2 track(s),51000000,127134.49
Q2_2021,unclassified,Studio Production,49,750000,per artist per quarter x 2 track(s),73500000,183223.23
Q2_2021,unclassified,Digital Distribution,49,15000,per artist per quarter x 2 track(s),1470000,3664.46
Q2_2021,unclassified,Web Hosting & CDN,49,50000,per artist per quarter,2450000,6107.44
Q2_2021,unclassified,Promotion & Marketing,49,250000,per artist per quarter x 2 track(s),24500000,61074.41
Q3_2021,domestic_production,Studio Production,438,750000,per artist per quarter x 2 track(s),657000000,1637791.35
Q3_2021,domestic_production,Digital Distribution,438,15000,per artist per quarter x 2 track(s),13140000,32755.83
Q3_2021,domestic_production,Web Hosting & CDN,438,50000,per artist per quarter,21900000,54593.04
Q3_2021,domestic_production,Promotion & Marketing,438,250000,per artist per quarter x 2 track(s),219000000,545930.45
Q3_2021,gni_diaspora,Studio Production,105,750000,per artist per quarter x 2 track(s),157500000,392621.21
Q3_2021,gni_diaspora,Digital Distribution,105,15000,per artist per quarter x 2 track(s),3150000,7852.42
Q3_2021,gni_diaspora,Web Hosting & CDN,105,50000,per artist per quarter,5250000,13087.37
Q3_2021,gni_diaspora,Promotion & Marketing,105,250000,per artist per quarter x 2 track(s),52500000,130873.74
Q3_2021,unclassified,Studio Production,51,750000,per artist per quarter x 2 track(s),76500000,190701.73
Q3_2021,unclassified,Digital Distribution,51,15000,per artist per quarter x 2 track(s),1530000,3814.03
Q3_2021,unclassified,Web Hosting & CDN,51,50000,per artist per quarter,2550000,6356.72
Q3_2021,unclassified,Promotion & Marketing,51,250000,per artist per quarter x 2 track(s),25500000,63567.24
Q4_2021,domestic_production,Studio Production,451,750000,per artist per quarter x 2 track(s),676500000,1686401.6
Q4_2021,domestic_production,Digital Distribution,451,15000,per artist per quarter x 2 track(s),13530000,33728.03
Q4_2021,domestic_production,Web Hosting & CDN,451,50000,per artist per quarter,22550000,56213.39
Q4_2021,domestic_production,Promotion & Marketing,451,250000,per artist per quarter x 2 track(s),225500000,562133.87
Q4_2021,gni_diaspora,Studio Production,105,750000,per artist per quarter x 2 track(s),157500000,392621.21
Q4_2021,gni_diaspora,Digital Distribution,105,15000,per artist per quarter x 2 track(s),3150000,7852.42
Q4_2021,gni_diaspora,Web Hosting & CDN,105,50000,per artist per quarter,5250000,13087.37
Q4_2021,gni_diaspora,Promotion & Marketing,105,250000,per artist per quarter x 2 track(s),52500000,130873.74
Q4_2021,unclassified,Studio Production,54,750000,per artist per quarter x 2 track(s),81000000,201919.48
Q4_2021,unclassified,Digital Distribution,54,15000,per artist per quarter x 2 track(s),1620000,4038.39
Q4_2021,unclassified,Web Hosting & CDN,54,50000,per artist per quarter,2700000,6730.65
Q4_2021,unclassified,Promotion & Marketing,54,250000,per artist per quarter x 2 track(s),27000000,67306.49
Q1_2022,domestic_production,Studio Production,457,750000,per artist per quarter x 2 track(s),685500000,1609230.48
Q1_2022,domestic_production,Digital Distribution,457,15000,per artist per quarter x 2 track(s),13710000,32184.61
Q1_2022,domestic_production,Web Hosting & CDN,457,50000,per artist per quarter,22850000,53641.02
Q1_2022,domestic_production,Promotion & Marketing,457,250000,per artist per quarter x 2 track(s),228500000,536410.16
Q1_2022,gni_diaspora,Studio Production,107,750000,per artist per quarter x 2 track(s),160500000,376778.25
Q1_2022,gni_diaspora,Digital Distribution,107,15000,per artist per quarter x 2 track(s),3210000,7535.57
Q1_2022,gni_diaspora,Web Hosting & CDN,107,50000,per artist per quarter,5350000,12559.28
Q1_2022,gni_diaspora,Promotion & Marketing,107,250000,per artist per quarter x 2 track(s),53500000,125592.75
Q1_2022,unclassified,Studio Production,54,750000,per artist per quarter x 2 track(s),81000000,190149.77
Q1_2022,unclassified,Digital Distribution,54,15000,per artist per quarter x 2 track(s),1620000,3803.0
Q1_2022,unclassified,Web Hosting & CDN,54,50000,per artist per quarter,2700000,6338.33
Q1_2022,unclassified,Promotion & Marketing,54,250000,per artist per quarter x 2 track(s),27000000,63383.26
Q2_2022,domestic_production,Studio Production,461,750000,per artist per quarter x 2 track(s),691500000,1623315.65
Q2_2022,domestic_production,Digital Distribution,461,15000,per artist per quarter x 2 track(s),13830000,32466.31
Q2_2022,domestic_production,Web Hosting & CDN,461,50000,per artist per quarter,23050000,54110.52
Q2_2022,domestic_production,Promotion & Marketing,461,250000,per artist per quarter x 2 track(s),230500000,541105.22
Q2_2022,gni_diaspora,Studio Production,107,750000,per artist per quarter x 2 track(s),160500000,376778.25
Q2_2022,gni_diaspora,Digital Distribution,107,15000,per artist per quarter x 2 track(s),3210000,7535.57
Q2_2022,gni_diaspora,Web Hosting & CDN,107,50000,per artist per quarter,5350000,12559.28
Q2_2022,gni_diaspora,Promotion & Marketing,107,250000,per artist per quarter x 2 track(s),53500000,125592.75
Q2_2022,unclassified,Studio Production,58,750000,per artist per quarter x 2 track(s),87000000,204234.94
Q2_2022,unclassified,Digital Distribution,58,15000,per artist per quarter x 2 track(s),1740000,4084.7
Q2_2022,unclassified,Web Hosting & CDN,58,50000,per artist per quarter,2900000,6807.83
Q2_2022,unclassified,Promotion & Marketing,58,250000,per artist per quarter x 2 track(s),29000000,68078.31
Q3_2022,domestic_production,Studio Production,471,750000,per artist per quarter x 2 track(s),706500000,1658528.57
Q3_2022,domestic_production,Digital Distribution,471,15000,per artist per quarter x 2 track(s),14130000,33170.57
Q3_2022,domestic_production,Web Hosting & CDN,471,50000,per artist per quarter,23550000,55284.29
Q3_2022,domestic_production,Promotion & Marketing,471,250000,per artist per quarter x 2 track(s),235500000,552842.86
Q3_2022,gni_diaspora,Studio Production,109,750000,per artist per quarter x 2 track(s),163500000,383820.84
Q3_2022,gni_diaspora,Digital Distribution,109,15000,per artist per quarter x 2 track(s),3270000,7676.42
Q3_2022,gni_diaspora,Web Hosting & CDN,109,50000,per artist per quarter,5450000,12794.03
Q3_2022,gni_diaspora,Promotion & Marketing,109,250000,per artist per quarter x 2 track(s),54500000,127940.28
Q3_2022,unclassified,Studio Production,58,750000,per artist per quarter x 2 track(s),87000000,204234.94
Q3_2022,unclassified,Digital Distribution,58,15000,per artist per quarter x 2 track(s),1740000,4084.7
Q3_2022,unclassified,Web Hosting & CDN,58,50000,per artist per quarter,2900000,6807.83
Q3_2022,unclassified,Promotion & Marketing,58,250000,per artist per quarter x 2 track(s),29000000,68078.31
Q4_2022,domestic_production,Studio Production,477,750000,per artist per quarter x 2 track(s),715500000,1679656.32
Q4_2022,domestic_production,Digital Distribution,477,15000,per artist per quarter x 2 track(s),14310000,33593.13
Q4_2022,domestic_production,Web Hosting & CDN,477,50000,per artist per quarter,23850000,55988.54
Q4_2022,domestic_production,Promotion & Marketing,477,250000,per artist per quarter x 2 track(s),238500000,559885.44
Q4_2022,gni_diaspora,Studio Production,111,750000,per artist per quarter x 2 track(s),166500000,390863.42
Q4_2022,gni_diaspora,Digital Distribution,111,15000,per artist per quarter x 2 track(s),3330000,7817.27
Q4_2022,gni_diaspora,Web Hosting & CDN,111,50000,per artist per quarter,5550000,13028.78
Q4_2022,gni_diaspora,Promotion & Marketing,111,250000,per artist per quarter x 2 track(s),55500000,130287.81
Q4_2022,unclassified,Studio Production,57,750000,per artist per quarter x 2 track(s),85500000,200713.65
Q4_2022,unclassified,Digital Distribution,57,15000,per artist per quarter x 2 track(s),1710000,4014.27
Q4_2022,unclassified,Web Hosting & CDN,57,50000,per artist per quarter,2850000,6690.45
Q4_2022,unclassified,Promotion & Marketing,57,250000,per artist per quarter x 2 track(s),28500000,66904.55
Q1_2023,domestic_production,Studio Production,484,750000,per artist per quarter x 2 track(s),726000000,1125581.4
Q1_2023,domestic_production,Digital Distribution,484,15000,per artist per quarter x 2 track(s),14520000,22511.63
Q1_2023,domestic_production,Web Hosting & CDN,484,50000,per artist per quarter,24200000,37519.38
Q1_2023,domestic_production,Promotion & Marketing,484,250000,per artist per quarter x 2 track(s),242000000,375193.8
Q1_2023,gni_diaspora,Studio Production,110,750000,per artist per quarter x 2 track(s),165000000,255813.95
Q1_2023,gni_diaspora,Digital Distribution,110,15000,per artist per quarter x 2 track(s),3300000,5116.28
Q1_2023,gni_diaspora,Web Hosting & CDN,110,50000,per artist per quarter,5500000,8527.13
Q1_2023,gni_diaspora,Promotion & Marketing,110,250000,per artist per quarter x 2 track(s),55000000,85271.32
Q1_2023,unclassified,Studio Production,60,750000,per artist per quarter x 2 track(s),90000000,139534.88
Q1_2023,unclassified,Digital Distribution,60,15000,per artist per quarter x 2 track(s),1800000,2790.7
Q1_2023,unclassified,Web Hosting & CDN,60,50000,per artist per quarter,3000000,4651.16
Q1_2023,unclassified,Promotion & Marketing,60,250000,per artist per quarter x 2 track(s),30000000,46511.63
Q2_2023,domestic_production,Studio Production,494,750000,per artist per quarter x 2 track(s),741000000,1148837.21
Q2_2023,domestic_production,Digital Distribution,494,15000,per artist per quarter x 2 track(s),14820000,22976.74
Q2_2023,domestic_production,Web Hosting & CDN,494,50000,per artist per quarter,24700000,38294.57
Q2_2023,domestic_production,Promotion & Marketing,494,250000,per artist per quarter x 2 track(s),247000000,382945.74
Q2_2023,gni_diaspora,Studio Production,113,750000,per artist per quarter x 2 track(s),169500000,262790.7
Q2_2023,gni_diaspora,Digital Distribution,113,15000,per artist per quarter x 2 track(s),3390000,5255.81
Q2_2023,gni_diaspora,Web Hosting & CDN,113,50000,per artist per quarter,5650000,8759.69
Q2_2023,gni_diaspora,Promotion & Marketing,113,250000,per artist per quarter x 2 track(s),56500000,87596.9
Q2_2023,unclassified,Studio Production,62,750000,per artist per quarter x 2 track(s),93000000,144186.05
Q2_2023,unclassified,Digital Distribution,62,15000,per artist per quarter x 2 track(s),1860000,2883.72
Q2_2023,unclassified,Web Hosting & CDN,62,50000,per artist per quarter,3100000,4806.2
Q2_2023,unclassified,Promotion & Marketing,62,250000,per artist per quarter x 2 track(s),31000000,48062.02
Q3_2023,domestic_production,Studio Production,493,750000,per artist per quarter x 2 track(s),739500000,1146511.63
Q3_2023,domestic_production,Digital Distribution,493,15000,per artist per quarter x 2 track(s),14790000,22930.23
Q3_2023,domestic_production,Web Hosting & CDN,493,50000,per artist per quarter,24650000,38217.05
Q3_2023,domestic_production,Promotion & Marketing,493,250000,per artist per quarter x 2 track(s),246500000,382170.54
Q3_2023,gni_diaspora,Studio Production,113,750000,per artist per quarter x 2 track(s),169500000,262790.7
Q3_2023,gni_diaspora,Digital Distribution,113,15000,per artist per quarter x 2 track(s),3390000,5255.81
Q3_2023,gni_diaspora,Web Hosting & CDN,113,50000,per artist per quarter,5650000,8759.69
Q3_2023,gni_diaspora,Promotion & Marketing,113,250000,per artist per quarter x 2 track(s),56500000,87596.9
Q3_2023,unclassified,Studio Production,62,750000,per artist per quarter x 2 track(s),93000000,144186.05
Q3_2023,unclassified,Digital Distribution,62,15000,per artist per quarter x 2 track(s),1860000,2883.72
Q3_2023,unclassified,Web Hosting & CDN,62,50000,per artist per quarter,3100000,4806.2
Q3_2023,unclassified,Promotion & Marketing,62,250000,per artist per quarter x 2 track(s),31000000,48062.02
Q4_2023,domestic_production,Studio Production,496,750000,per artist per quarter x 2 track(s),744000000,1153488.37
Q4_2023,domestic_production,Digital Distribution,496,15000,per artist per quarter x 2 track(s),14880000,23069.77
Q4_2023,domestic_production,Web Hosting & CDN,496,50000,per artist per quarter,24800000,38449.61
Q4_2023,domestic_production,Promotion & Marketing,496,250000,per artist per quarter x 2 track(s),248000000,384496.12
Q4_2023,gni_diaspora,Studio Production,113,750000,per artist per quarter x 2 track(s),169500000,262790.7
Q4_2023,gni_diaspora,Digital Distribution,113,15000,per artist per quarter x 2 track(s),3390000,5255.81
Q4_2023,gni_diaspora,Web Hosting & CDN,113,50000,per artist per quarter,5650000,8759.69
Q4_2023,gni_diaspora,Promotion & Marketing,113,250000,per artist per quarter x 2 track(s),56500000,87596.9
Q4_2023,unclassified,Studio Production,62,750000,per artist per quarter x 2 track(s),93000000,144186.05
Q4_2023,unclassified,Digital Distribution,62,15000,per artist per quarter x 2 track(s),1860000,2883.72
Q4_2023,unclassified,Web Hosting & CDN,62,50000,per artist per quarter,3100000,4806.2
Q4_2023,unclassified,Promotion & Marketing,62,250000,per artist per quarter x 2 track(s),31000000,48062.02
Q1_2024,domestic_production,Studio Production,502,750000,per artist per quarter x 2 track(s),753000000,509472.26
Q1_2024,domestic_production,Digital Distribution,502,15000,per artist per quarter x 2 track(s),15060000,10189.45
Q1_2024,domestic_production,Web Hosting & CDN,502,50000,per artist per quarter,25100000,16982.41
Q1_2024,domestic_production,Promotion & Marketing,502,250000,per artist per quarter x 2 track(s),251000000,169824.09
Q1_2024,gni_diaspora,Studio Production,113,750000,per artist per quarter x 2 track(s),169500000,114682.0
Q1_2024,gni_diaspora,Digital Distribution,113,15000,per artist per quarter x 2 track(s),3390000,2293.64
Q1_2024,gni_diaspora,Web Hosting & CDN,113,50000,per artist per quarter,5650000,3822.73
Q1_2024,gni_diaspora,Promotion & Marketing,113,250000,per artist per quarter x 2 track(s),56500000,38227.33
Q1_2024,unclassified,Studio Production,68,750000,per artist per quarter x 2 track(s),102000000,69012.18
Q1_2024,unclassified,Digital Distribution,68,15000,per artist per quarter x 2 track(s),2040000,1380.24
Q1_2024,unclassified,Web Hosting & CDN,68,50000,per artist per quarter,3400000,2300.41
Q1_2024,unclassified,Promotion & Marketing,68,250000,per artist per quarter x 2 track(s),34000000,23004.06
Q2_2024,domestic_production,Studio Production,509,750000,per artist per quarter x 2 track(s),763500000,516576.45
Q2_2024,domestic_production,Digital Distribution,509,15000,per artist per quarter x 2 track(s),15270000,10331.53
Q2_2024,domestic_production,Web Hosting & CDN,509,50000,per artist per quarter,25450000,17219.22
Q2_2024,domestic_production,Promotion & Marketing,509,250000,per artist per quarter x 2 track(s),254500000,172192.15
Q2_2024,gni_diaspora,Studio Production,114,750000,per artist per quarter x 2 track(s),171000000,115696.89
Q2_2024,gni_diaspora,Digital Distribution,114,15000,per artist per quarter x 2 track(s),3420000,2313.94
Q2_2024,gni_diaspora,Web Hosting & CDN,114,50000,per artist per quarter,5700000,3856.56
Q2_2024,gni_diaspora,Promotion & Marketing,114,250000,per artist per quarter x 2 track(s),57000000,38565.63
Q2_2024,unclassified,Studio Production,68,750000,per artist per quarter x 2 track(s),102000000,69012.18
Q2_2024,unclassified,Digital Distribution,68,15000,per artist per quarter x 2 track(s),2040000,1380.24
Q2_2024,unclassified,Web Hosting & CDN,68,50000,per artist per quarter,3400000,2300.41
Q2_2024,unclassified,Promotion & Marketing,68,250000,per artist per quarter x 2 track(s),34000000,23004.06
Q3_2024,domestic_production,Studio Production,511,750000,per artist per quarter x 2 track(s),766500000,518606.22
Q3_2024,domestic_production,Digital Distribution,511,15000,per artist per quarter x 2 track(s),15330000,10372.12
Q3_2024,domestic_production,Web Hosting & CDN,511,50000,per artist per quarter,25550000,17286.87
Q3_2024,domestic_production,Promotion & Marketing,511,250000,per artist per quarter x 2 track(s),255500000,172868.74
Q3_2024,gni_diaspora,Studio Production,114,750000,per artist per quarter x 2 track(s),171000000,115696.89
Q3_2024,gni_diaspora,Digital Distribution,114,15000,per artist per quarter x 2 track(s),3420000,2313.94
Q3_2024,gni_diaspora,Web Hosting & CDN,114,50000,per artist per quarter,5700000,3856.56
Q3_2024,gni_diaspora,Promotion & Marketing,114,250000,per artist per quarter x 2 track(s),57000000,38565.63
Q3_2024,unclassified,Studio Production,70,750000,per artist per quarter x 2 track(s),105000000,71041.95
Q3_2024,unclassified,Digital Distribution,70,15000,per artist per quarter x 2 track(s),2100000,1420.84
Q3_2024,unclassified,Web Hosting & CDN,70,50000,per artist per quarter,3500000,2368.06
Q3_2024,unclassified,Promotion & Marketing,70,250000,per artist per quarter x 2 track(s),35000000,23680.65
Q4_2024,domestic_production,Studio Production,513,750000,per artist per quarter x 2 track(s),769500000,520635.99
Q4_2024,domestic_production,Digital Distribution,513,15000,per artist per quarter x 2 track(s),15390000,10412.72
Q4_2024,domestic_production,Web Hosting & CDN,513,50000,per artist per quarter,25650000,17354.53
Q4_2024,domestic_production,Promotion & Marketing,513,250000,per artist per quarter x 2 track(s),256500000,173545.33
Q4_2024,gni_diaspora,Studio Production,117,750000,per artist per quarter x 2 track(s),175500000,118741.54
