period,artist_name,spotify_monthly_listeners,youtube_subscribers,youtube_actual_views,youtube_views_source,deezer_fans,est_spotify_quarterly_streams,spotify_revenue_usd,youtube_revenue_usd,deezer_revenue_usd,other_platforms_revenue_usd,gross_streaming_revenue_usd,gross_streaming_revenue_ngn,source,spotify_listeners_source
Q1_2019,Banky W.,58976,199571,8098791,"estimated: subscribers x 13.53 views/month (EST, calibrated)",8350,619248,2476.99,32395.16,200.4,743.1,35815.65,53723475.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Tekno,560765,0,0,no YouTube presence observed,19024,5888032,23552.13,0.0,456.58,7065.64,31074.35,46611525.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,2Baba,103394,148342,6019867,"estimated: subscribers x 13.53 views/month (EST, calibrated)",846,1085637,4342.55,24079.47,20.3,1302.76,29745.08,44617620.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Korede Bello,303871,66412,2695065,"estimated: subscribers x 13.53 views/month (EST, calibrated)",18103,3190646,12762.58,10780.26,434.47,3828.77,27806.08,41709120.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Ice Prince,298481,48563,1970735,"estimated: subscribers x 13.53 views/month (EST, calibrated)",42146,3134050,12536.2,7882.94,1011.5,3760.86,25191.5,37787250.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Reekado Banks,113679,110363,4478641,"estimated: subscribers x 13.53 views/month (EST, calibrated)",3805,1193630,4774.52,17914.56,91.32,1432.36,24212.76,36319140.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Wande Coal,286684,0,1990048,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",18267,3010182,12040.73,7960.19,438.41,3612.22,24051.55,36077325.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Fela Kuti,277239,0,728358,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",153485,2911010,11644.04,2913.43,3683.64,3493.21,21734.32,32601480.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Phyno,95361,0,3924461,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",10719,1001290,4005.16,15697.84,257.26,1201.55,21161.81,31742715.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Niniola,240606,31173,1265032,"estimated: subscribers x 13.53 views/month (EST, calibrated)",0,2526363,10105.45,5060.13,0.0,3031.64,18197.22,27295830.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Ycee,312332,0,0,no YouTube presence observed,5493,3279486,13117.94,0.0,131.83,3935.38,17185.15,25777725.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,D'banj,241909,0,709937,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",4719,2540044,10160.18,2839.75,113.26,3048.05,16161.24,24241860.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Aṣa,107683,48209,1956369,"estimated: subscribers x 13.53 views/month (EST, calibrated)",100609,1130672,4522.69,7825.48,2414.62,1356.81,16119.6,24179400.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Nonso Amadi,145860,31612,1282847,"estimated: subscribers x 13.53 views/month (EST, calibrated)",4671,1531530,6126.12,5131.39,112.1,1837.84,13207.45,19811175.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Kizz Daniel,240769,0,0,no YouTube presence observed,2184,2528074,10112.3,0.0,52.42,3033.69,13198.41,19797615.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Rema,238790,0,0,no YouTube presence observed,404,2507295,10029.18,0.0,9.7,3008.75,13047.63,19571445.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Teni,227102,0,0,no YouTube presence observed,14864,2384571,9538.28,0.0,356.74,2861.49,12756.51,19134765.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Mayorkun,227267,0,0,no YouTube presence observed,2695,2386304,9545.21,0.0,64.68,2863.56,12473.45,18710175.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Seyi Shay,51500,58344,2367658,"estimated: subscribers x 13.53 views/month (EST, calibrated)",2360,540750,2163.0,9470.63,56.64,648.9,12339.17,18508755.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,DJ Neptune,120933,29202,1185046,"estimated: subscribers x 13.53 views/month (EST, calibrated)",968,1269796,5079.19,4740.19,23.23,1523.76,11366.37,17049555.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Zlatan,202030,0,0,no YouTube presence observed,286,2121315,8485.26,0.0,6.86,2545.58,11037.7,16556550.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Skiibii,199886,0,0,no YouTube presence observed,127,2098803,8395.21,0.0,3.05,2518.56,10916.82,16375230.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Odunsi (The Engine),190032,0,0,no YouTube presence observed,236,1995336,7981.34,0.0,5.66,2394.4,10381.4,15572100.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Ajebutter22,171579,0,0,no YouTube presence observed,561,1801580,7206.32,0.0,13.46,2161.9,9381.68,14072520.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Adekunle Gold,144006,0,0,no YouTube presence observed,11081,1512063,6048.25,0.0,265.94,1814.48,8128.67,12193005.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Solidstar,45894,34147,1385719,"estimated: subscribers x 13.53 views/month (EST, calibrated)",1390,481887,1927.55,5542.88,33.36,578.26,8082.05,12123075.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Boj,144071,0,0,no YouTube presence observed,250,1512746,6050.98,0.0,6.0,1815.29,7872.27,11808405.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Sarz,128997,0,0,no YouTube presence observed,874,1354468,5417.87,0.0,20.98,1625.36,7064.21,10596315.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Naira Marley,118128,0,0,no YouTube presence observed,228,1240344,4961.38,0.0,5.47,1488.41,6455.26,9682890.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Ric Hassani,104041,0,0,no YouTube presence observed,1536,1092430,4369.72,0.0,36.86,1310.92,5717.5,8576250.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Johnny Drille,104031,0,0,no YouTube presence observed,708,1092326,4369.3,0.0,16.99,1310.79,5697.08,8545620.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Brymo,29878,22144,898626,"estimated: subscribers x 13.53 views/month (EST, calibrated)",4556,313719,1254.88,3594.5,109.34,376.46,5335.18,8002770.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Simi,95822,0,0,no YouTube presence observed,4013,1006131,4024.52,0.0,96.31,1207.36,5328.19,7992285.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Bracket,87490,0,0,no YouTube presence observed,20156,918645,3674.58,0.0,483.74,1102.37,5260.69,7891035.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Fireboy DML,94925,0,0,no YouTube presence observed,15,996712,3986.85,0.0,0.36,1196.05,5183.26,7774890.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Lil Kesh,86167,0,0,no YouTube presence observed,3639,904754,3619.01,0.0,87.34,1085.7,4792.05,7188075.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,9ice,42942,12641,512984,"estimated: subscribers x 13.53 views/month (EST, calibrated)",7509,450891,1803.56,2051.94,180.22,541.07,4576.79,6865185.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,WurlD,76801,2101,85261,"estimated: subscribers x 13.53 views/month (EST, calibrated)",147,806410,3225.64,341.04,3.53,967.69,4537.9,6806850.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Sean Tizzle,40801,12908,523820,"estimated: subscribers x 13.53 views/month (EST, calibrated)",4282,428410,1713.64,2095.28,102.77,514.09,4425.78,6638670.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Peruzzi,77097,0,0,no YouTube presence observed,193,809518,3238.07,0.0,4.63,971.42,4214.12,6321180.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Show Dem Camp,74621,0,0,no YouTube presence observed,211,783520,3134.08,0.0,5.06,940.22,4079.36,6119040.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Darey,4736,22963,931862,"estimated: subscribers x 13.53 views/month (EST, calibrated)",3621,49728,198.91,3727.45,86.9,59.67,4072.93,6109395.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Reminisce,17450,16838,683303,"estimated: subscribers x 13.53 views/month (EST, calibrated)",2893,183225,732.9,2733.21,69.43,219.87,3755.41,5633115.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Praiz,65982,0,0,no YouTube presence observed,1162,692811,2771.24,0.0,27.89,831.37,3630.5,5445750.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Dammy Krane,63633,0,0,no YouTube presence observed,505,668146,2672.59,0.0,12.12,801.78,3486.49,5229735.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Duncan Mighty,60339,0,0,no YouTube presence observed,3567,633560,2534.24,0.0,85.61,760.27,3380.12,5070180.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,M.I. Abaga,54564,0,0,no YouTube presence observed,389,572922,2291.69,0.0,9.34,687.51,2988.54,4482810.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Dremo,52740,0,0,no YouTube presence observed,557,553770,2215.08,0.0,13.37,664.52,2892.97,4339455.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,HarrySong,42190,0,104008,"estimated: YouTube listeners x 12.48 views/month (EST, calibrated)",473,442995,1771.98,416.03,11.35,531.59,2730.95,4096425.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Naeto C,24261,5837,235938,"estimated: subscribers x 13.53 views/month (EST, calibrated)",12817,254740,1018.96,943.75,307.61,305.69,2576.01,3864015.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Joeboy,43427,0,0,no YouTube presence observed,34,455984,1823.93,0.0,0.82,547.18,2371.93,3557895.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Small Doctor,14180,9511,385966,"estimated: subscribers x 13.53 views/month (EST, calibrated)",249,148890,595.56,1543.86,5.98,178.67,2324.07,3486105.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Amaarae,37356,1569,63672,"estimated: subscribers x 13.53 views/month (EST, calibrated)",0,392238,1568.95,254.69,0.0,470.69,2294.33,3441495.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Dice Ailes,38862,0,0,no YouTube presence observed,682,408051,1632.2,0.0,16.37,489.66,2138.23,3207345.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,LADIPOE,36549,0,0,no YouTube presence observed,76,383764,1535.06,0.0,1.82,460.52,1997.4,2996100.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Lady Donli,34541,0,0,no YouTube presence observed,79,362680,1450.72,0.0,1.9,435.22,1887.84,2831760.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,CDQ,31344,0,0,no YouTube presence observed,125,329112,1316.45,0.0,3.0,394.93,1714.38,2571570.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Sound Sultan,14368,5217,211711,"estimated: subscribers x 13.53 views/month (EST, calibrated)",1042,150864,603.46,846.84,25.01,181.04,1656.35,2484525.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Waje,5748,7314,296809,"estimated: subscribers x 13.53 views/month (EST, calibrated)",1509,60354,241.42,1187.24,36.22,72.42,1537.3,2305950.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,King Sunny Ade,23149,0,0,no YouTube presence observed,5991,243064,972.26,0.0,143.78,291.68,1407.72,2111580.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Terry Apala,6738,3262,132375,"estimated: subscribers x 13.53 views/month (EST, calibrated)",85,70749,283.0,529.5,2.04,84.9,899.44,1349160.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Olu Maintain,15283,0,0,no YouTube presence observed,339,160472,641.89,0.0,8.14,192.57,842.6,1263900.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Yung6ix,14658,0,0,no YouTube presence observed,421,153909,615.64,0.0,10.1,184.69,810.43,1215645.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Prettyboy D-O,13577,0,0,no YouTube presence observed,27,142558,570.23,0.0,0.65,171.07,741.95,1112925.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Vector,12282,0,0,no YouTube presence observed,844,128961,515.84,0.0,20.26,154.75,690.85,1036275.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Mannywellz,3433,3018,122352,"estimated: subscribers x 13.53 views/month (EST, calibrated)",0,36046,144.19,489.41,0.0,43.26,676.86,1015290.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Blaqbonez,9496,0,0,no YouTube presence observed,67,99708,398.83,0.0,1.61,119.65,520.09,780135.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Lagbaja,0,2756,111841,"estimated: subscribers x 13.53 views/month (EST, calibrated)",2568,0,0.0,447.36,61.63,0.0,508.99,763485.0,Chartmetric + Soundcharts (observed); see 02_Methodology,"observed monthly listeners, quarter end level"
Q1_2019,Olakira,7871,0,0,no YouTube presence observed,16,82646,330.58,0.0,0.38,99.17,430.13,645195.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Eldee,3946,175,7102,"estimated: subscribers x 13.53 views/month (EST, calibrated)",4142,41433,165.73,28.41,99.41,49.72,343.27,514905.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Jesse Jagz,4030,0,0,no YouTube presence observed,4620,42315,169.26,0.0,110.88,50.78,330.92,496380.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Illbliss,5683,0,0,no YouTube presence observed,73,59672,238.69,0.0,1.75,71.61,312.05,468075.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Oxlade,5636,0,0,no YouTube presence observed,46,59178,236.71,0.0,1.1,71.01,308.82,463230.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Lyta,3774,0,0,no YouTube presence observed,106,39627,158.51,0.0,2.54,47.55,208.6,312900.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,CKay,1531,0,0,no YouTube presence observed,66,16076,64.3,0.0,1.58,19.29,85.17,127755.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Ebenezer Obey,0,0,0,no YouTube presence observed,3056,0,0.0,0.0,73.34,0.0,73.34,110010.0,Chartmetric + Soundcharts (observed); see 02_Methodology,"observed monthly listeners, quarter end level"
Q1_2019,Bella Shmurda,799,0,0,no YouTube presence observed,2,8390,33.56,0.0,0.05,10.07,43.68,65520.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Oritsefemi,8,0,0,no YouTube presence observed,1048,84,0.34,0.0,25.15,0.1,25.59,38385.0,Chartmetric + Soundcharts (observed); see 02_Methodology,estimated: carried back from Q2_2019 and deflated by observed growth (EST; the provider series begins mid-Q2 2019)
Q1_2019,Magixx,0,0,0,no YouTube presence observed,3,0,0.0,0.0,0.07,0.0,0.07,105.0,Chartmetric + Soundcharts (observed); see 02_Methodology,"observed monthly listeners, quarter end level"
Q1_2019,=== PERIOD TOTAL ===,,,,,,,658582.03,980555.36,36097.26,197574.6,1872809.25,2809213875.0,Aggregated,
Q2_2019,Wizkid,2382105,811662,32304472,"estimated: subscribers x 13.27 views/month (EST, calibrated)",284233,25012102,100048.41,129217.89,6821.59,30014.52,266102.41,399153615.0,Chartmetric + Soundcharts (observed); see 02_Methodology,"observed monthly listeners, quarter end level"
Q2_2019,Mr Eazi,2649883,583809,23235832,"estimated: subscribers x 13.27 views/month (EST, calibrated)",33008,27823772,111295.09,92943.33,792.19,33388.53,238419.14,357628710.0,Chartmetric + Soundcharts (observed); see 02_Methodology,"observed monthly listeners, quarter end level"
