period,account,platform,revenue_usd,revenue_ngn,revenue_share_of_quarter_pct,direct_cost_ngn,shared_cost_allocated_ngn,cost_allocation_basis,total_cost_ngn,net_operating_result_ngn,revenue_measurement_basis,classification
Q2_2019,gni_diaspora,YouTube,71846.08,22050998.87,44.0609,0.0,7331736.21,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (44.0609%).",7331736.21,14719262.67,channel view volume x rate,EST
Q2_2019,gni_diaspora,Deezer,2917.1,895316.33,1.789,0.0,297683.71,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.7890%).",297683.71,597632.62,observed fans x streams/fan x rate,EST
Q2_2019,gni_diaspora,Other digital platforms,20376.37,6253915.48,12.4962,0.0,2079364.24,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (12.4962%).",2079364.24,4174551.24,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q3_2019,domestic_production,Spotify,1370487.54,420630035.78,44.9948,0.0,99204477.55,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (44.9948%).",99204477.55,321425558.22,observed monthly listeners x streams/listener x rate,EST
Q3_2019,domestic_production,YouTube,1217914.48,373802312.2,39.9856,0.0,88160283.23,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (39.9856%).",88160283.23,285642028.97,channel view volume x rate,EST
Q3_2019,domestic_production,Deezer,46333.35,14220631.78,1.5212,0.0,3353898.26,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.5212%).",3353898.26,10866733.52,observed fans x streams/fan x rate,EST
Q3_2019,domestic_production,Other digital platforms,411146.23,126189000.91,13.4984,0.0,29761340.95,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (13.4984%).",29761340.95,96427659.96,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q3_2019,gni_diaspora,Spotify,82359.58,25277802.29,44.3839,0.0,10155031.76,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (44.3839%).",10155031.76,15122770.54,observed monthly listeners x streams/listener x rate,EST
Q3_2019,gni_diaspora,YouTube,75445.57,23155754.34,40.6579,0.0,9302526.3,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (40.6579%).",9302526.3,13853228.04,channel view volume x rate,EST
Q3_2019,gni_diaspora,Deezer,3048.95,935783.73,1.6431,0.0,375939.07,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.6431%).",375939.07,559844.66,observed fans x streams/fan x rate,EST
Q3_2019,gni_diaspora,Other digital platforms,24707.85,7583333.32,13.3152,0.0,3046506.57,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (13.3152%).",3046506.57,4536826.75,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q4_2019,domestic_production,Spotify,1471559.94,451651176.78,39.421,0.0,87735412.64,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (39.4210%).",87735412.64,363915764.15,observed monthly listeners x streams/listener x rate,EST
Q4_2019,domestic_production,YouTube,1765083.3,541739366.44,47.2841,0.0,105235476.62,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (47.2841%).",105235476.62,436503889.82,channel view volume x rate,EST
Q4_2019,domestic_production,Deezer,54821.3,16825753.4,1.4686,0.0,3268483.5,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.4686%).",3268483.5,13557269.9,observed fans x streams/fan x rate,EST
Q4_2019,domestic_production,Other digital platforms,441468.02,135495364.7,11.8263,0.0,26320626.06,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (11.8263%).",26320626.06,109174738.64,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q4_2019,gni_diaspora,Spotify,115441.91,35431431.02,49.5126,0.0,11328490.21,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (49.5126%).",11328490.21,24102940.81,observed monthly listeners x streams/listener x rate,EST
Q4_2019,gni_diaspora,YouTube,79711.89,24465173.28,34.1882,0.0,7822249.0,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (34.1882%).",7822249.0,16642924.28,channel view volume x rate,EST
Q4_2019,gni_diaspora,Deezer,3370.09,1034348.02,1.4454,0.0,330712.06,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.4454%).",330712.06,703635.97,observed fans x streams/fan x rate,EST
Q4_2019,gni_diaspora,Other digital platforms,34632.57,10629428.38,14.8538,0.0,3398546.77,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (14.8538%).",3398546.77,7230881.62,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q1_2020,domestic_production,Spotify,1658176.7,594970381.73,43.9112,0.0,97728692.61,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (43.9112%).",97728692.61,497241689.12,observed monthly listeners x streams/listener x rate,EST
Q1_2020,domestic_production,YouTube,1556082.91,558338108.94,41.2076,0.0,91711545.81,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (41.2076%).",91711545.81,466626563.13,channel view volume x rate,EST
Q1_2020,domestic_production,Deezer,64494.68,23141336.13,1.7079,0.0,3801151.44,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.7079%).",3801151.44,19340184.69,observed fans x streams/fan x rate,EST
Q1_2020,domestic_production,Other digital platforms,497453.02,178491118.11,13.1734,0.0,29318608.37,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (13.1734%).",29318608.37,149172509.73,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q1_2020,gni_diaspora,Spotify,144097.42,51703595.27,52.6304,0.0,12041825.0,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (52.6304%).",12041825.0,39661770.27,observed monthly listeners x streams/listener x rate,EST
Q1_2020,gni_diaspora,YouTube,82672.63,29663766.37,30.1955,0.0,6908724.27,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (30.1955%).",6908724.27,22755042.1,channel view volume x rate,EST
Q1_2020,gni_diaspora,Deezer,3792.18,1360672.11,1.3851,0.0,316902.05,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.3851%).",316902.05,1043770.05,observed fans x streams/fan x rate,EST
Q1_2020,gni_diaspora,Other digital platforms,43229.23,15511080.02,15.7891,0.0,3612547.84,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (15.7891%).",3612547.84,11898532.18,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q2_2020,domestic_production,Spotify,1721973.44,617861290.01,42.6236,0.0,94863078.94,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (42.6236%).",94863078.94,522998211.07,observed monthly listeners x streams/listener x rate,EST
Q2_2020,domestic_production,YouTube,1726626.78,619530954.93,42.7388,0.0,95119430.26,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (42.7388%).",95119430.26,524411524.68,channel view volume x rate,EST
Q2_2020,domestic_production,Deezer,74761.04,26825008.76,1.8505,0.0,4118566.68,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.8505%).",4118566.68,22706442.08,observed fans x streams/fan x rate,EST
Q2_2020,domestic_production,Other digital platforms,516592.04,185358389.87,12.7871,0.0,28458924.12,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (12.7871%).",28458924.12,156899465.75,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q2_2020,gni_diaspora,Spotify,173571.17,62279071.51,54.426,0.0,12452672.68,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (54.4260%).",12452672.68,49826398.82,observed monthly listeners x streams/listener x rate,EST
Q2_2020,gni_diaspora,YouTube,89076.19,31961427.73,27.9313,0.0,6390673.28,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (27.9313%).",6390673.28,25570754.46,channel view volume x rate,EST
Q2_2020,gni_diaspora,Deezer,4193.43,1504644.62,1.3149,0.0,300853.02,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.3149%).",300853.02,1203791.6,observed fans x streams/fan x rate,EST
Q2_2020,gni_diaspora,Other digital platforms,52071.36,18683724.68,16.3278,0.0,3735802.45,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (16.3278%).",3735802.45,14947922.23,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q3_2020,domestic_production,Spotify,2144860.05,769597234.54,44.3576,0.0,98722268.47,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (44.3576%).",98722268.47,670874966.07,observed monthly listeners x streams/listener x rate,EST
Q3_2020,domestic_production,YouTube,1958901.44,702873425.69,40.5118,0.0,90163082.61,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (40.5118%).",90163082.61,612710343.08,channel view volume x rate,EST
Q3_2020,domestic_production,Deezer,88164.24,31634210.95,1.8233,0.0,4057968.15,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.8233%).",4057968.15,27576242.8,observed fans x streams/fan x rate,EST
Q3_2020,domestic_production,Other digital platforms,643458.05,230879182.92,13.3073,0.0,29616682.15,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (13.3073%).",29616682.15,201262500.77,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q3_2020,gni_diaspora,Spotify,189851.13,68120483.96,54.8102,0.0,12540580.49,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (54.8102%).",12540580.49,55579903.47,observed monthly listeners x streams/listener x rate,EST
Q3_2020,gni_diaspora,YouTube,94929.95,34061815.36,27.4064,0.0,6270579.89,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (27.4064%).",6270579.89,27791235.46,channel view volume x rate,EST
Q3_2020,gni_diaspora,Deezer,4642.59,1665807.72,1.3403,0.0,306665.4,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.3403%).",306665.4,1359142.31,observed fans x streams/fan x rate,EST
Q3_2020,gni_diaspora,Other digital platforms,56955.33,20436141.96,16.4431,0.0,3762173.55,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (16.4431%).",3762173.55,16673968.41,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q4_2020,domestic_production,Spotify,1934820.33,694232882.61,37.7682,0.0,84842429.13,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (37.7682%).",84842429.13,609390453.48,observed monthly listeners x streams/listener x rate,EST
Q4_2020,domestic_production,YouTube,2504901.59,898783739.51,48.8963,0.0,109840656.69,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (48.8963%).",109840656.69,788943082.82,channel view volume x rate,EST
Q4_2020,domestic_production,Deezer,102717.28,36855987.24,2.0051,0.0,4504182.33,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (2.0051%).",4504182.33,32351804.9,observed fans x streams/fan x rate,EST
Q4_2020,domestic_production,Other digital platforms,580446.18,208269893.85,11.3305,0.0,25452732.29,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (11.3305%).",25452732.29,182817161.56,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q4_2020,gni_diaspora,Spotify,158013.53,56696834.7,51.2003,0.0,11714637.65,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (51.2003%).",11714637.65,44982197.05,observed monthly listeners x streams/listener x rate,EST
Q4_2020,gni_diaspora,YouTube,98199.21,35234858.54,31.819,0.0,7280187.73,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (31.8190%).",7280187.73,27954670.81,channel view volume x rate,EST
Q4_2020,gni_diaspora,Deezer,5001.31,1794520.04,1.6205,0.0,370781.76,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.6205%).",370781.76,1423738.28,observed fans x streams/fan x rate,EST
Q4_2020,gni_diaspora,Other digital platforms,47404.06,17009050.77,15.3601,0.0,3514391.37,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (15.3601%).",3514391.37,13494659.4,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q1_2021,domestic_production,Spotify,2043246.54,819648349.52,38.8412,0.0,88060661.07,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (38.8412%).",88060661.07,731587688.45,observed monthly listeners x streams/listener x rate,EST
Q1_2021,domestic_production,YouTube,2487137.53,997715220.16,47.2793,0.0,107191653.46,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (47.2793%).",107191653.46,890523566.7,channel view volume x rate,EST
Q1_2021,domestic_production,Deezer,117161.8,46999456.07,2.2272,0.0,5049486.37,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (2.2272%).",5049486.37,41949969.7,observed fans x streams/fan x rate,EST
Q1_2021,domestic_production,Other digital platforms,612973.98,245894512.08,11.6523,0.0,26418199.1,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (11.6523%).",26418199.1,219476312.98,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q1_2021,gni_diaspora,Spotify,155468.45,62366168.72,50.5401,0.0,11563579.13,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (50.5401%).",11563579.13,50802589.59,observed monthly listeners x streams/listener x rate,EST
Q1_2021,gni_diaspora,YouTube,100238.35,40210614.1,32.5858,0.0,7455622.62,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (32.5858%).",7455622.62,32754991.49,channel view volume x rate,EST
Q1_2021,gni_diaspora,Deezer,5266.61,2112700.6,1.7121,0.0,391724.89,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.7121%).",391724.89,1720975.71,observed fans x streams/fan x rate,EST
Q1_2021,gni_diaspora,Other digital platforms,46640.53,18709848.61,15.162,0.0,3469073.37,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (15.1620%).",3469073.37,15240775.24,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q2_2021,domestic_production,Spotify,2381251.37,955238987.08,39.4046,0.0,89338198.2,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (39.4046%).",89338198.2,865900788.87,observed monthly listeners x streams/listener x rate,EST
Q2_2021,domestic_production,YouTube,2817238.31,1130135148.06,46.6193,0.0,105695264.97,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (46.6193%).",105695264.97,1024439883.08,channel view volume x rate,EST
Q2_2021,domestic_production,Deezer,130208.54,52233155.82,2.1547,0.0,4885077.02,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (2.1547%).",4885077.02,47348078.8,observed fans x streams/fan x rate,EST
Q2_2021,domestic_production,Other digital platforms,714375.38,286571683.69,11.8214,0.0,26801458.3,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (11.8214%).",26801458.3,259770225.39,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q2_2021,gni_diaspora,Spotify,475649.02,190806604.37,65.6132,0.0,15012292.0,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (65.6132%).",15012292.0,175794312.38,observed monthly listeners x streams/listener x rate,EST
Q2_2021,gni_diaspora,YouTube,101129.86,40568243.34,13.9503,0.0,3191830.37,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (13.9503%).",3191830.37,37376412.97,channel view volume x rate,EST
Q2_2021,gni_diaspora,Deezer,5455.65,2188534.0,0.7526,0.0,172189.59,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (0.7526%).",172189.59,2016344.41,observed fans x streams/fan x rate,EST
Q2_2021,gni_diaspora,Other digital platforms,142694.71,57241982.92,19.6839,0.0,4503687.73,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (19.6839%).",4503687.73,52738295.19,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
Q3_2021,domestic_production,Spotify,3166078.45,1270072370.22,43.0474,0.0,97597040.77,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (43.0474%).",97597040.77,1172475329.45,observed monthly listeners x streams/listener x rate,EST
Q3_2021,domestic_production,YouTube,3095862.04,1241905057.35,42.0927,0.0,95432560.66,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (42.0927%).",95432560.66,1146472496.69,channel view volume x rate,EST
Q3_2021,domestic_production,Deezer,143103.56,57405993.09,1.9457,0.0,4411288.03,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (1.9457%).",4411288.03,52994705.06,observed fans x streams/fan x rate,EST
Q3_2021,domestic_production,Other digital platforms,949823.53,381021709.06,12.9142,0.0,29279112.08,"SHARED. No cost in this dataset is directly attributable to a platform: the cost card is per artist per quarter, not per platform. Allocated on this platform's share of the account's revenue in this quarter (12.9142%).",29279112.08,351742596.98,"ASSUMPTION: a flat uplift on Spotify revenue. No platform in this bucket (Apple Music, Amazon, Boomplay, Audiomack, Tidal) was ever queried; nothing here is measured.",ASM
