artist_name,nigerian_heritage,provider_country_of_residence,residence_classification,national_accounts_treatment,included_in_domestic_production,gni_relevant,evidence,needs_nbs_adjudication,quarters_with_revenue,gross_revenue_usd,gross_revenue_ngn,operating_cost_ngn
Blaqbonez,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1776846.13,2195838512.07,64480000.0
Bloody Civilian,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,16,725090.15,998383426.21,33280000.0
Boj,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1325302.18,1339084026.63,64480000.0
Boy Spyce,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,20,852027.34,1079213121.46,41600000.0
Bracket,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1121574.52,1341611916.56,64480000.0
Brymo,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,385260.37,414635745.11,64480000.0
Burna Boy,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,42132573.33,42334302121.18,64480000.0
CDQ,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,173183.85,208792695.45,64480000.0
CKay,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,22084859.65,19117342008.19,64480000.0
Chike,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,3342993.88,4343287269.72,62400000.0
Crayon,Y,FR,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in FR,Y,29,2166472.0,2670833441.23,60320000.0
Cruel Santino,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,893338.32,870885934.78,62400000.0
D'banj,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,901206.38,884679524.06,64480000.0
DJ Cuppy,Y,not recorded,unknown,UNCLASSIFIED — NBS adjudication required,N,Y,provider holds no country for this artist,Y,4,20.08,29850.88,8320000.0
DJ Neptune,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1387890.33,1395611035.76,64480000.0
DJ Spinall,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,239503.02,359876969.04,62400000.0
Dammy Krane,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,43359.28,43018307.24,64480000.0
Darey,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,183525.52,174523055.47,64480000.0
Darkoo,Y,GB,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in GB,Y,30,5677837.51,5468309164.45,62400000.0
Davido,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,18611803.09,18563866750.29,62400000.0
Dice Ailes,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,273463.35,269260528.24,64480000.0
Dremo,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,213981.35,230845570.24,64480000.0
Duncan Mighty,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,399028.39,496220501.1,64480000.0
Ebenezer Obey,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,3338.71,2895140.83,64480000.0
Eldee,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,51264.99,63533668.67,64480000.0
Falz,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1463004.62,1196533680.59,64480000.0
Fela Kuti,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1118030.43,925271174.03,64480000.0
Fireboy DML,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,14397031.45,14438716704.18,64480000.0
Flavour,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,7131291.92,6009056915.81,64480000.0
HarrySong,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,230011.79,213277563.45,64480000.0
Ice Prince,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1392259.71,1343870715.34,64480000.0
Illbliss,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,137474.16,184316591.81,64480000.0
Iyanya,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,2116193.65,2048641723.24,64480000.0
Jesse Jagz,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,78268.5,84122662.35,64480000.0
Joeboy,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,6264449.98,6595461435.54,64480000.0
Johnny Drille,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1541571.15,2134556239.28,64480000.0
Khaid,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,19,2276325.79,3195874568.34,39520000.0
King Sunny Ade,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,151898.62,177089747.66,64480000.0
Kizz Daniel,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,10710505.73,10946404421.65,64480000.0
Korede Bello,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1556865.64,1380659550.47,64480000.0
LADIPOE,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1186761.65,1330324336.0,64480000.0
Lady Donli,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,237163.46,207205258.69,64480000.0
Lagbaja,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,90294.22,124619603.35,64480000.0
Libianca,Y,CM,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in CM,Y,29,10155723.62,11440392429.66,60320000.0
Lil Kesh,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,996519.4,1096077082.06,64480000.0
Lojay,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,5390487.01,6253409502.08,62400000.0
Lyta,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,278764.83,372079277.36,64480000.0
M.I. Abaga,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,362610.27,367970047.23,64480000.0
Magixx,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1594243.43,2060002364.0,64480000.0
Maleek Berry,Y,GB,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in GB,Y,31,3305295.77,2539613032.01,64480000.0
Mannywellz,Y,US,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in US,Y,31,494966.79,523266987.35,64480000.0
Mayorkun,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,2180207.94,2124182496.12,64480000.0
Mohbad,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,1481192.64,1875919617.84,62400000.0
Mr Eazi,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,10065292.16,7631364455.09,64480000.0
Mr Real,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,123484.25,108456108.33,62400000.0
Naeto C,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,110289.08,112768020.8,64480000.0
Naira Marley,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,3002662.42,2948933572.6,64480000.0
Niniola,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,886087.91,695637527.98,64480000.0
Nonso Amadi,Y,CA,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in CA,Y,31,992763.1,900895770.61,64480000.0
ODUMODUBLVCK,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,29,3085875.25,4363619287.28,60320000.0
Odunsi (The Engine),Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,598270.83,473993692.88,64480000.0
Olakira,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1687892.38,1501133992.56,64480000.0
Olamide,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,6432234.95,6823841973.32,64480000.0
Olu Maintain,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,91471.78,105615200.37,64480000.0
Omah Lay,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,28,14976897.98,17574100401.05,58240000.0
Oritsefemi,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,884.52,716181.82,64480000.0
Oxlade,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,6696036.8,7131890541.49,64480000.0
P-Square,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,4871954.15,5547745170.78,64480000.0
Patoranking,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,4401723.58,4202102487.18,64480000.0
Peruzzi,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,563878.72,601898421.0,64480000.0
Pheelz,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,3788538.54,3945434093.34,62400000.0
Phyno,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1871955.66,2271010558.2,64480000.0
Portable,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,5,164003.82,250925844.6,10400000.0
Praiz,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,417084.97,375866921.63,64480000.0
Prettyboy D-O,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,165213.56,140486640.19,64480000.0
Qing Madi,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,16,1697868.39,2500959000.77,33280000.0
Reekado Banks,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1963392.11,1820155728.05,64480000.0
Rema,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,36690962.96,38640081326.67,64480000.0
Reminisce,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,520162.89,518555287.03,64480000.0
Ric Hassani,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1679899.47,1575803683.26,64480000.0
Rude Boy,Y,US,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in US,Y,29,466690.93,460823898.53,60320000.0
Ruger,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,24,6631128.34,8503951515.47,49920000.0
Sarz,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,4256313.54,5106423876.97,64480000.0
Sauce Kid,Y,US,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in US,Y,30,7400.37,8371268.27,62400000.0
Sean Tizzle,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,285528.71,285468146.1,64480000.0
Seyi Shay,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,411683.3,294192009.59,64480000.0
Seyi Vibez,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,29,2665631.24,3782959453.62,60320000.0
Shallipopi,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,16,3561767.71,5313936673.14,33280000.0
Show Dem Camp,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,608210.36,656340342.26,64480000.0
Simi,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,2159789.78,2260192321.26,64480000.0
Skiibii,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1570501.31,1537470834.21,64480000.0
Small Doctor,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,103425.51,92006483.97,64480000.0
Solidstar,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,247030.25,198722330.59,64480000.0
Sound Sultan,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,83321.66,83729343.93,64480000.0
Spyro,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,2218620.63,2687350859.93,62400000.0
Tay Iwar,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,947347.49,1025008959.6,62400000.0
Tekno,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,5228815.93,5123957001.93,64480000.0
Tempoe,Y,US,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in US,Y,17,2811305.3,4234861618.45,35360000.0
Tems,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,24678101.55,29571852667.47,62400000.0
Teni,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,2438650.92,2314489787.09,64480000.0
Terri,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,302160.51,240135959.17,62400000.0
Terry Apala,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,205422.91,286793356.2,64480000.0
Timaya,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,2989080.96,2334759653.36,64480000.0
Tiwa Savage,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,5634666.18,5244802981.0,64480000.0
Vector,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,559817.62,685152862.89,64480000.0
Victony,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,29,7352934.26,9063982740.27,60320000.0
Waje,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,115047.37,88197946.56,64480000.0
Wande Coal,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,3093813.08,3310805940.89,64480000.0
Wizkid,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,24046358.57,22699453378.77,64480000.0
WurlD,Y,US,diaspora_candidate,Separate — input to GNI compilation,N,Y,provider registers the artist in US,Y,31,784060.16,772870551.67,64480000.0
Ycee,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1099805.69,906321980.67,64480000.0
Yemi Alade,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,4134620.21,3451161933.19,64480000.0
Young Jonn,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,30,3357545.18,4490648643.32,62400000.0
Yung6ix,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,92056.17,117905933.88,64480000.0
Zinoleesky,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,29,2073910.31,2655112257.12,60320000.0
Zlatan,Y,NG,domestic,Domestic production account,Y,N,provider registers the artist in Nigeria,N,31,1874469.25,2343127611.01,64480000.0
