period,artist_name,spotify_monthly_listeners,youtube_subscribers,youtube_actual_views,youtube_views_source,deezer_fans,est_spotify_quarterly_streams,spotify_revenue_usd,youtube_revenue_usd,deezer_revenue_usd,other_platforms_revenue_usd,gross_streaming_revenue_usd,gross_streaming_revenue_ngn,source
Q1_2025,Lagbaja,9008,5789,260505,estimated,2868,94584,378.34,1042.02,68.83,113.5,1602.69,2404033.2,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Libianca,6267009,1159615,49375783,actual,0,65803594,263214.38,197503.13,0,78964.31,539681.82,809522735.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Lil Kesh,705134,88069,4845542,actual,2963,7403907,29615.63,19382.17,71.11,8884.69,57953.6,86930394.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Lojay,4004710,353000,15885000,estimated,47776,42049455,168197.82,63540,1146.62,50459.35,283343.79,425015685,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Lyta,274758,91462,4115790,estimated,0,2884959,11539.84,16463.16,0,3461.95,31464.95,47197420.2,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,M.I. Abaga,234649,100923,4541535,estimated,2098,2463814,9855.26,18166.14,50.35,2956.58,31028.33,46542491.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Magixx,1254330,243750,10968750,estimated,3579,13170465,52681.86,43875,85.9,15804.56,112447.31,168670971,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Maleek Berry,1351605,613400,3824073,actual,0,14191852,56767.41,15296.29,0,17030.22,89093.93,133640887.5,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Mannywellz,329258,51033,2296485,estimated,1480,3457209,13828.84,9185.94,35.52,4148.65,27198.95,40798420.2,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Mayorkun,1205122,264034,11881530,estimated,144088,12653781,50615.12,47526.12,3458.11,15184.54,116783.89,175175839.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Mohbad,1332271,60271,2712195,estimated,47894,13988846,55955.38,10848.78,1149.46,16786.61,84740.23,127110348.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Mr Eazi,3653263,1264792,9595749,actual,337394,38359262,153437.05,38383,8097.46,46031.11,245948.61,368922917.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Mr Real,43794,0,0,estimated,83,459837,1839.35,0,1.99,551.8,2393.14,3589716.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Naeto C,73427,0,0,estimated,12991,770984,3083.93,0,311.78,925.18,4320.9,6481347.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Naira Marley,1569884,1151429,51814305,estimated,150506,16483782,65935.13,207257.22,3612.14,19780.54,296585.03,444877545.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Niniola,200735,120023,5401035,estimated,8717,2107718,8430.87,21604.14,209.21,2529.26,32773.48,49160218.5,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Nonso Amadi,368446,136774,6154830,estimated,6,3868683,15474.73,24619.32,0.14,4642.42,44736.62,67104923.4,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,ODUMODUBLVCK,3288663,201667,9075015,estimated,8772,34530962,138123.85,36300.06,210.53,41437.15,216071.59,324107381.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Odunsi (The Engine),292905,37342,1680390,estimated,5490,3075502,12302.01,6721.56,131.76,3690.6,22845.93,34268899.5,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Olakira,271744,642000,28890000,estimated,24426,2853312,11413.25,115560,586.22,3423.97,130983.45,196475169.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Olamide,3780731,1249630,14910693,actual,34,39697676,158790.7,59642.77,0.82,47637.21,266071.5,399107250.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Olu Maintain,80400,0,0,estimated,446,844200,3376.8,0,10.7,1013.04,4400.54,6600816,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Omah Lay,9136630,2303333,103649985,estimated,301107,95934615,383738.46,414599.94,7226.57,115121.54,920686.51,1381029759,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Oxlade,4380510,646000,43857280,actual,97914,45995355,183981.42,175429.12,2349.94,55194.43,416954.9,625432353,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,P-Square,1279326,2683529,28680301,actual,205990,13432923,53731.69,114721.2,4943.76,16119.51,189516.16,284274245.4,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Patoranking,1394123,1729524,15595300,actual,186037,14638292,58553.17,62381.2,4464.89,17565.95,142965.2,214447805.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Peruzzi,354019,26222,1179990,estimated,41470,3717200,14868.8,4719.96,995.28,4460.64,25044.68,37567016.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Pheelz,2126099,365929,16466805,estimated,27956,22324040,89296.16,65867.22,670.94,26788.85,182623.17,273934754.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Phyno,1266479,621294,10681483,actual,41,13298030,53192.12,42725.93,0.98,15957.64,111876.67,167815004.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Portable,319695,248905,11200725,estimated,634,3356798,13427.19,44802.9,15.22,4028.16,62273.46,93410194.5,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Praiz,214656,0,0,estimated,1589,2253888,9015.55,0,38.14,2704.67,11758.35,17637530.4,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Prettyboy D-O,77520,9218,414810,estimated,1490,813960,3255.84,1659.24,35.76,976.75,5927.59,8891388,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Qing Madi,1486586,272750,12273750,estimated,1627,15609153,62436.61,49095,39.05,18730.98,130301.64,195452465.4,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Reekado Banks,723123,492769,4556191,actual,0,7592792,30371.17,18224.76,0,9111.35,57707.28,86560919.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Rema,20788212,4804286,197745110,actual,490122,218276226,873104.9,790980.44,11762.93,261931.47,1937779.74,2906669615,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Reminisce,278105,76411,3438495,estimated,12285,2920102,11680.41,13753.98,294.84,3504.12,29233.35,43850029.5,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Ric Hassani,473012,706455,5202918,actual,8374,4966626,19866.5,20811.67,200.98,5959.95,46839.1,70258654.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Rude Boy,230545,0,0,estimated,0,2420722,9682.89,0,0,2904.87,12587.76,18881635.5,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Ruger,4314621,1897500,57351988,actual,113435,45303520,181214.08,229407.95,2722.44,54364.22,467708.7,701563047.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Sarz,3382663,94100,4234500,estimated,59585,35517962,142071.85,16938,1430.04,42621.55,203061.44,304592159.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Sauce Kid,6267,1862,83790,estimated,118,65804,263.21,335.16,2.83,78.96,680.17,1020255.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Sean Tizzle,147256,51130,2300850,estimated,4768,1546188,6184.75,9203.4,114.43,1855.43,17358.01,26037014.4,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Seyi Shay,112013,140797,6335865,estimated,8,1176136,4704.55,25343.46,0.19,1411.36,31459.56,47189342.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Seyi Vibez,2819341,309500,13927500,estimated,16202,29603080,118412.32,55710,388.85,35523.7,210034.87,315052299.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Shallipopi,3601408,281000,12645000,estimated,6314,37814784,151259.14,50580,151.54,45377.74,247368.41,371052619.2,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Show Dem Camp,445321,12714,572130,estimated,9193,4675870,18703.48,2288.52,220.63,5611.04,26823.68,40235517.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Simi,1054217,1058750,47643750,estimated,162831,11069278,44277.11,190575,3907.94,13283.13,252043.19,378064788.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Skiibii,701654,329500,14827500,estimated,0,7367367,29469.47,59310,0,8840.84,97620.31,146430462.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Small Doctor,42782,30022,1350990,estimated,656,449211,1796.84,5403.96,15.74,539.05,7755.6,11633401.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Solidstar,67634,0,0,estimated,1591,710157,2840.63,0,38.18,852.19,3731,5596500.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Sound Sultan,48987,17447,785115,estimated,1275,514364,2057.45,3140.46,30.6,617.24,5845.75,8768625.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Spyro,669979,524000,23580000,estimated,9094,7034780,28139.12,94320,218.26,8441.74,131119.11,196678664.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Tay Iwar,880643,11850,533250,estimated,1,9246752,36987.01,2133,0.02,11096.1,50216.13,75324197.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Tekno,1715817,2582941,36296172,actual,0,18016078,72064.31,145184.69,0,21619.29,238868.3,358302444.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Tempoe,4852074,0,0,estimated,11179,50946777,203787.11,0,268.3,61136.13,265191.54,397787304.6,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Tems,16582404,1146154,52511407,actual,204691,174115242,696460.97,210045.63,4912.58,208938.29,1120357.47,1680536206,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Teni,1749049,765000,8443124,actual,4,18365014,73460.06,33772.5,0.1,22038.02,129270.67,193906001.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Terri,108692,87028,3916260,estimated,0,1141266,4565.06,15665.04,0,1369.52,21599.62,32399434.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Terry Apala,185577,6468,291060,estimated,412,1948558,7794.23,1164.24,9.89,2338.27,11306.63,16959948.3,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Timaya,859612,116701,9460634,actual,0,9025926,36103.7,37842.54,0,10831.11,84777.35,127166026.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Tiwa Savage,2846972,1483478,37301091,actual,2702,29893206,119572.82,149204.36,64.85,35871.85,304713.88,457070824.8,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Vector,324191,71214,3204630,estimated,0,3404006,13616.02,12818.52,0,4084.81,30519.35,45779022.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Victony,6222461,669368,30121560,estimated,57635,65335840,261343.36,120486.24,1383.24,78403.01,461615.85,692423775.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Waje,44621,50124,2255580,estimated,1773,468520,1874.08,9022.32,42.55,562.22,11501.18,17251767.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Wande Coal,2401159,101000,5012289,actual,0,25212170,100848.68,20049.16,0,30254.6,151152.44,226728656.1,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Wizkid,9940410,3323334,91297035,actual,933551,104374305,417497.22,365188.14,22405.22,125249.17,930339.75,1395509625,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,WurlD,362150,42285,1902825,estimated,46762,3802575,15210.3,7611.3,1122.29,4563.09,28506.98,42760467,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Ycee,359741,219128,9860760,estimated,0,3777280,15109.12,39443.04,0,4532.74,59084.9,88627347.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Yemi Alade,1067993,2461087,14476547,actual,0,11213926,44855.71,57906.19,0,13456.71,116218.61,174327908.7,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Young Jonn,2730521,335857,15113565,estimated,24712,28670470,114681.88,60454.26,593.09,34404.56,210133.79,315200691.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Yung6ix,112260,301,13545,estimated,747,1178730,4714.92,54.18,17.93,1414.48,6201.5,9302256,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Zinoleesky,1758120,206200,9279000,estimated,58474,18460260,73841.04,37116,1403.38,22152.31,134512.73,201769092,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,Zlatan,1213491,370500,16672500,estimated,119111,12741656,50966.62,66690,2858.66,15289.99,135805.27,203707908.9,Chartmetric + SoundCharts API + per-stream rates
Q1_2025,=== PERIOD TOTAL ===,,,,,,,,,,,23270140.6,34905210900,Aggregated
Q2_2025,2Baba,472378,464000,3570743,actual,10540,4959969,19839.88,14282.97,252.96,5951.96,40327.77,60491656.2,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,9ice,340210,2574,115830,estimated,9990,3572205,14288.82,463.32,239.76,4286.65,19278.55,28917819,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Adekunle Gold,2417773,941625,8323952,actual,194031,25386616,101546.47,33295.81,4656.74,30463.94,169962.96,254944436.7,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Ajebutter22,201433,50401,2268045,estimated,0,2115046,8460.19,9072.18,0,2538.06,20070.42,30105632.7,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Amaarae,5803807,425778,19160010,estimated,31712,60939974,243759.89,76640.04,761.09,73127.97,394288.99,591433485.3,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Asake,7223714,1648667,38047627,actual,98194,75848997,303395.99,152190.51,2356.66,91018.8,548961.95,823442922.6,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Ayra Starr,17604522,2645000,91549357,actual,187809,184847481,739389.92,366197.43,4507.42,221816.98,1331911.75,1997867618,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Aṣa,365883,942,2619140,actual,134759,3841772,15367.09,10476.56,3234.22,4610.13,33687.99,50531981.7,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,BNXN,4922451,398875,17949375,estimated,72431,51685736,206742.94,71797.5,1738.34,62022.88,342301.67,513452502.9,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Bad Boy Timz,664808,14279,642555,estimated,18700,6980484,27921.94,2570.22,448.8,8376.58,39317.54,58976305.2,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Banky W.,283851,577952,613372,actual,9069,2980436,11921.74,2453.49,217.66,3576.52,18169.41,27254112.9,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Bayanni,2024398,207455,9335475,estimated,3783,21256179,85024.72,37341.9,90.79,25507.41,147964.82,221947234.2,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Bella Shmurda,2348207,473000,21285000,estimated,0,24656174,98624.69,85140,0,29587.41,213352.1,320028153.3,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Blaqbonez,1320811,292733,13172985,estimated,31074,13868516,55474.06,52691.94,745.78,16642.22,125554,188330994.9,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Bloody Civilian,1279111,16388,737460,estimated,2128,13430666,53722.66,2949.84,51.07,16116.8,72840.37,109260558.9,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Boj,1392197,21447,965115,estimated,8762,14618068,58472.27,3860.46,210.29,17541.68,80084.7,120127056.3,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Boy Spyce,631080,129750,5838750,estimated,3335,6626340,26505.36,23355,80.04,7951.61,57892.01,86838012,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Bracket,543617,1059531,4235075,actual,30038,5707978,22831.91,16940.3,720.91,6849.57,47342.7,71014050.3,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Brymo,268496,64650,2909250,estimated,15509,2819208,11276.83,11637,372.22,3383.05,26669.1,40003646.4,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Burna Boy,167,0,0,estimated,1,1754,7.01,0,0.02,2.1,9.14,13713.3,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,CDQ,148175,0,334968,actual,625,1555838,6223.35,1339.87,15,1867.01,9445.23,14167840.5,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,CKay,10224561,4221579,37629551,actual,9,107357890,429431.56,150518.2,0.22,128829.47,708779.45,1063169176,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Chike,2564310,1143200,51444000,estimated,52184,26925255,107701.02,205776,1252.42,32310.31,347039.74,520559613,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Crayon,1725637,240857,10004869,actual,0,18119188,72476.75,40019.48,0,21743.03,134239.26,201358884.3,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Cruel Santino,764065,5396,242820,estimated,0,8022682,32090.73,971.28,0,9627.22,42689.23,64033843.5,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,D'banj,503949,227500,1236967,actual,7645,5291464,21165.86,4947.87,183.48,6349.76,32646.96,48970445.1,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,DJ Cuppy,1,0,0,estimated,0,10,0.04,0,0,0.01,0.05,81.9,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,DJ Neptune,975861,257870,1370455,actual,66,10246540,40986.16,5481.82,1.58,12295.85,58765.41,88148121.9,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,DJ Spinall,22,363500,16357500,estimated,0,231,0.92,65430,0,0.28,65431.2,98146801.8,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Dammy Krane,30721,0,0,estimated,552,322570,1290.28,0,13.25,387.08,1690.61,2535921.9,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Darey,96284,74614,3357630,estimated,3805,1010982,4043.93,13430.52,91.32,1213.18,18778.95,28168419.6,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Darkoo,5262491,306091,13774095,estimated,0,55256156,221024.62,55096.38,0,66307.39,342428.39,513642582.9,Chartmetric + SoundCharts API + per-stream rates
Q2_2025,Davido,9841832,4586000,89896319,actual,861387,103339236,413356.94,359585.28,20673.29,124007.08,917622.59,1376433887,Chartmetric + SoundCharts API + per-stream rates
